reader_provider,reader_model,arm,source,query_count,protected_disclosure_coverage,evidence_recall,feasible,penalized_admissibility_upper_risk,route_width,wrong_namespace_exposure,policy_disallowed_exposure,lifecycle_incompatible_exposure,unresolved_exposure,answer_correct,answer_quality,over_refusal,contains_reference_answer,protected_disclosure,literal_protected_disclosure,stale_disclosure
OpenAI,gpt-5.6-luna,global_dense,memops,1000,0.787,0.38213214285714286,0.139,0.9060751304423131,20.0,0.2703,0.20345,0.0303,0.013850000000000001,0.567,0.6157,0.099,0.077,0.12833545108005082,0.052096569250317665,0.088
OpenAI,gpt-5.6-luna,global_dense,rhelm,523,0.0,0.4821587908585997,0.3422562141491396,0.6889456423436676,20.0,0.36491395793499043,0.0,0.0,0.0,0.367112810707457,0.4462715105162524,0.5602294455066922,0.14340344168260039,,,
OpenAI,gpt-5.6-luna,namespace_dense,memops,1000,0.787,0.48802460317460317,0.199,0.85764537709023,20.0,0.0,0.2161,0.0323,0.0188,0.653,0.6813,0.082,0.079,0.1207115628970775,0.052096569250317665,0.092
OpenAI,gpt-5.6-luna,namespace_dense,rhelm,523,0.0,0.5843083249871013,0.4321223709369025,0.5678776290630975,20.0,0.0,0.0,0.0,0.0,0.4130019120458891,0.47590822179732317,0.5009560229445507,0.16443594646271512,,,
OpenAI,gpt-5.6-luna,namespace_policy_gate,memops,1000,0.787,0.48802460317460317,0.199,0.8192447656102068,15.678,0.0,0.0,0.04298756549178376,0.026343299193066994,0.642,0.6748999999999999,0.091,0.084,0.1207115628970775,0.053367217280813214,0.094
OpenAI,gpt-5.6-luna,namespace_policy_gate,rhelm,523,0.0,0.5843083249871013,0.4321223709369025,0.5678776290630975,20.0,0.0,0.0,0.0,0.0,0.4130019120458891,0.47590822179732317,0.5009560229445507,0.16443594646271512,,,
OpenAI,gpt-5.6-luna,global_dense,equal_source_macro,1523,0.5167432698621143,0.43214546685787125,0.2406281070745698,0.7975103863929904,20.0,0.31760697896749523,0.101725,0.01515,0.006925000000000001,0.4670564053537285,0.5309857552581262,0.3296147227533461,0.1102017208413002,,,
OpenAI,gpt-5.6-luna,namespace_dense,equal_source_macro,1523,0.5167432698621143,0.5361664640808522,0.31556118546845124,0.7127615030766637,20.0,0.0,0.10805,0.01615,0.0094,0.5330009560229445,0.5786041108986616,0.2914780114722753,0.12171797323135755,,,
OpenAI,gpt-5.6-luna,namespace_policy_gate,equal_source_macro,1523,0.5167432698621143,0.5361664640808522,0.31556118546845124,0.6935611973366521,17.839,0.0,0.0,0.02149378274589188,0.013171649596533497,0.5275009560229446,0.5754041108986616,0.2959780114722753,0.12421797323135755,,,
