model,comparator,scope,axis,metric,estimate,ci_lower,ci_upper,bootstrap_replicates,bootstrap_unit,bootstrap_stratification
OpenAI/gpt-5.6-sol,released_oracle,axis,policy_purpose,focal_direction_accuracy,0.0,0.0,0.0,10000,scenario,axis
OpenAI/gpt-5.6-sol,released_oracle,axis,principal_scope,focal_direction_accuracy,0.0,0.0,0.0,10000,scenario,axis
OpenAI/gpt-5.6-sol,released_oracle,overall,all,focal_directional_margin,-0.018546875000000004,-0.020328125,-0.01665625000000001,10000,scenario,axis
OpenAI/gpt-5.6-sol,released_oracle,axis,as_of_time,focal_directional_margin,-0.019437499999999983,-0.023437499999999986,-0.012374999999999997,10000,scenario,axis
OpenAI/gpt-5.6-sol,released_oracle,axis,lifecycle_intent,focal_directional_margin,-0.021250000000000005,-0.02218749999999997,-0.020312500000000025,10000,scenario,axis
OpenAI/gpt-5.6-sol,released_oracle,axis,policy_purpose,focal_directional_margin,-0.01037500000000005,-0.015562500000000049,-0.007500000000000062,10000,scenario,axis
OpenAI/gpt-5.6-sol,released_oracle,axis,principal_scope,focal_directional_margin,-0.02312499999999998,-0.024375000000000008,-0.022499999999999964,10000,scenario,axis
OpenAI/gpt-5.6-sol,released_oracle,overall,all,stable_control_accuracy,-0.2265625,-0.328125,-0.140625,10000,scenario,axis
OpenAI/gpt-5.6-sol,released_oracle,axis,as_of_time,stable_control_accuracy,-0.125,-0.375,0.0,10000,scenario,axis
OpenAI/gpt-5.6-sol,released_oracle,axis,lifecycle_intent,stable_control_accuracy,-0.21875,-0.25,-0.15625,10000,scenario,axis
OpenAI/gpt-5.6-sol,released_oracle,axis,policy_purpose,stable_control_accuracy,-0.40625,-0.5,-0.21875,10000,scenario,axis
OpenAI/gpt-5.6-sol,released_oracle,axis,principal_scope,stable_control_accuracy,-0.15625,-0.46875,0.0,10000,scenario,axis
OpenAI/gpt-5.6-sol,released_oracle,overall,all,stable_control_overflip_rate,0.203125,0.109375,0.3125,10000,scenario,axis
OpenAI/gpt-5.6-sol,released_oracle,axis,as_of_time,stable_control_overflip_rate,0.0,0.0,0.0,10000,scenario,axis
OpenAI/gpt-5.6-sol,released_oracle,axis,lifecycle_intent,stable_control_overflip_rate,0.4375,0.3125,0.5,10000,scenario,axis
OpenAI/gpt-5.6-sol,released_oracle,axis,policy_purpose,stable_control_overflip_rate,0.1875,0.0,0.375,10000,scenario,axis
OpenAI/gpt-5.6-sol,released_oracle,axis,principal_scope,stable_control_overflip_rate,0.1875,0.0,0.5625,10000,scenario,axis
OpenAI/gpt-5.6-sol,released_oracle,overall,all,candidate_accuracy,-0.15104166666666669,-0.21875,-0.09375,10000,scenario,axis
OpenAI/gpt-5.6-sol,released_oracle,axis,as_of_time,candidate_accuracy,-0.08333333333333334,-0.25,0.0,10000,scenario,axis
OpenAI/gpt-5.6-sol,released_oracle,axis,lifecycle_intent,candidate_accuracy,-0.14583333333333331,-0.16666666666666663,-0.10416666666666664,10000,scenario,axis
OpenAI/gpt-5.6-sol,released_oracle,axis,policy_purpose,candidate_accuracy,-0.27083333333333337,-0.33333333333333337,-0.14583333333333331,10000,scenario,axis
OpenAI/gpt-5.6-sol,released_oracle,axis,principal_scope,candidate_accuracy,-0.10416666666666667,-0.3125,0.0,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,overall,all,strict_focal_pair_consistency,0.71875,0.59375,0.84375,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,axis,as_of_time,strict_focal_pair_consistency,0.875,0.625,1.0,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,axis,lifecycle_intent,strict_focal_pair_consistency,0.5,0.5,0.5,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,axis,policy_purpose,strict_focal_pair_consistency,1.0,1.0,1.0,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,axis,principal_scope,strict_focal_pair_consistency,0.5,0.0,1.0,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,overall,all,focal_direction_accuracy,0.875,0.71875,1.0,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,axis,as_of_time,focal_direction_accuracy,0.875,0.625,1.0,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,axis,lifecycle_intent,focal_direction_accuracy,0.875,0.625,1.0,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,axis,policy_purpose,focal_direction_accuracy,1.0,1.0,1.0,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,axis,principal_scope,focal_direction_accuracy,0.75,0.25,1.0,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,overall,all,focal_directional_margin,0.70875,0.56468359375,0.84172265625,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,axis,as_of_time,focal_directional_margin,0.800625,0.431875,1.0,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,axis,lifecycle_intent,focal_directional_margin,0.628125,0.5125,0.74375,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,axis,policy_purpose,focal_directional_margin,0.94375,0.896875,0.971875,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,axis,principal_scope,focal_directional_margin,0.4625,1.3877787807814457e-17,0.925,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,overall,all,stable_control_accuracy,0.1171875,0.046875,0.1953125,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,axis,as_of_time,stable_control_accuracy,0.0625,-0.1875,0.375,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,axis,lifecycle_intent,stable_control_accuracy,0.28125,0.1875,0.375,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,axis,policy_purpose,stable_control_accuracy,0.125,0.03125,0.21875,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,axis,principal_scope,stable_control_accuracy,0.0,0.0,0.0,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,overall,all,stable_control_overflip_rate,0.265625,0.1875,0.34375,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,axis,as_of_time,stable_control_overflip_rate,0.125,0.0,0.375,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,axis,lifecycle_intent,stable_control_overflip_rate,0.4375,0.25,0.625,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,axis,policy_purpose,stable_control_overflip_rate,0.4375,0.3125,0.5,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,axis,principal_scope,stable_control_overflip_rate,0.0625,0.0,0.1875,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,overall,all,candidate_accuracy,0.19270833333333331,0.13020833333333331,0.2552083333333333,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,axis,as_of_time,candidate_accuracy,0.16666666666666663,-0.08333333333333336,0.41666666666666663,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,axis,lifecycle_intent,candidate_accuracy,0.27083333333333337,0.20833333333333334,0.33333333333333337,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,axis,policy_purpose,candidate_accuracy,0.25,0.18749999999999997,0.3125,10000,scenario,axis
DeepSeek/deepseek-v4-pro,no_verifier_keep_all,axis,principal_scope,candidate_accuracy,0.08333333333333331,0.0,0.16666666666666663,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,overall,all,strict_focal_pair_consistency,-0.28125,-0.40625,-0.15625,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,axis,as_of_time,strict_focal_pair_consistency,-0.125,-0.375,0.0,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,axis,lifecycle_intent,strict_focal_pair_consistency,-0.5,-0.5,-0.5,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,axis,policy_purpose,strict_focal_pair_consistency,0.0,0.0,0.0,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,axis,principal_scope,strict_focal_pair_consistency,-0.5,-1.0,0.0,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,overall,all,focal_direction_accuracy,-0.125,-0.28125,0.0,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,axis,as_of_time,focal_direction_accuracy,-0.125,-0.375,0.0,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,axis,lifecycle_intent,focal_direction_accuracy,-0.125,-0.375,0.0,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,axis,policy_purpose,focal_direction_accuracy,0.0,0.0,0.0,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,axis,principal_scope,focal_direction_accuracy,-0.25,-0.75,0.0,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,overall,all,focal_directional_margin,-0.29125,-0.43531640624999995,-0.15827734375000002,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,axis,as_of_time,focal_directional_margin,-0.19937500000000002,-0.568125,0.0,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,axis,lifecycle_intent,focal_directional_margin,-0.371875,-0.4875,-0.25625,10000,scenario,axis
