model,axis,role,condition,judgment_count,gold_admissible_count,gold_inadmissible_count,accuracy,false_deny_rate,false_admit_rate,unknown_argmax_rate,mean_p_admissible,mean_p_inadmissible,mean_p_unknown
OpenAI/gpt-5.6-sol,as_of_time,stable_inadmissible,all,16,0,16,1.0,,0.0,0.0,0.0059375,0.9905625,0.0035
OpenAI/gpt-5.6-sol,as_of_time,stable_inadmissible,allow,8,0,8,1.0,,0.0,0.0,0.004125,0.992875,0.003
OpenAI/gpt-5.6-sol,as_of_time,stable_inadmissible,block,8,0,8,1.0,,0.0,0.0,0.00775,0.98825,0.004
OpenAI/gpt-5.6-sol,lifecycle_intent,focal,all,16,8,8,1.0,0.0,0.0,0.0,0.5,0.495,0.005
OpenAI/gpt-5.6-sol,lifecycle_intent,focal,allow,8,8,0,1.0,0.0,,0.0,0.99,0.00625,0.00375
OpenAI/gpt-5.6-sol,lifecycle_intent,focal,block,8,0,8,1.0,,0.0,0.0,0.01,0.98375,0.00625
OpenAI/gpt-5.6-sol,lifecycle_intent,stable_admissible,all,16,16,0,0.5625,0.4375,,0.0,0.560625,0.4321875,0.0071875
OpenAI/gpt-5.6-sol,lifecycle_intent,stable_admissible,allow,8,8,0,0.125,0.875,,0.0,0.13125,0.8574999999999999,0.01125
OpenAI/gpt-5.6-sol,lifecycle_intent,stable_admissible,block,8,8,0,1.0,0.0,,0.0,0.99,0.006875,0.003125
OpenAI/gpt-5.6-sol,lifecycle_intent,stable_inadmissible,all,16,0,16,1.0,,0.0,0.0,0.0004375,0.999125,0.0004375
OpenAI/gpt-5.6-sol,lifecycle_intent,stable_inadmissible,allow,8,0,8,1.0,,0.0,0.0,0.00025,0.9995,0.00025
OpenAI/gpt-5.6-sol,lifecycle_intent,stable_inadmissible,block,8,0,8,1.0,,0.0,0.0,0.000625,0.99875,0.000625
OpenAI/gpt-5.6-sol,policy_purpose,focal,all,16,8,8,1.0,0.0,0.0,0.0,0.49574999999999997,0.501625,0.002625
OpenAI/gpt-5.6-sol,policy_purpose,focal,allow,8,8,0,1.0,0.0,,0.0,0.99,0.00625,0.00375
OpenAI/gpt-5.6-sol,policy_purpose,focal,block,8,0,8,1.0,,0.0,0.0,0.0015,0.997,0.0015
OpenAI/gpt-5.6-sol,policy_purpose,stable_admissible,all,16,16,0,0.1875,0.375,,0.4375,0.200125,0.4063125,0.3935625
OpenAI/gpt-5.6-sol,policy_purpose,stable_admissible,allow,8,8,0,0.25,0.5,,0.25,0.2415,0.513875,0.244625
OpenAI/gpt-5.6-sol,policy_purpose,stable_admissible,block,8,8,0,0.125,0.25,,0.625,0.15875,0.29875,0.5425
OpenAI/gpt-5.6-sol,policy_purpose,stable_inadmissible,all,16,0,16,1.0,,0.0,0.0,0.0011250000000000001,0.99775,0.0011250000000000001
