axis_family,comparison,metric,estimate,ci_lower,ci_upper,bootstrap_unit,bootstrap_samples,bootstrap_seed
full_scope_policy_lifecycle,namespace_dense_minus_global_dense,evidence_recall,0.00046511627906975495,0.0,0.0015075376884421954,namespace_group_within_source,10000,20260814
full_scope_policy_lifecycle,namespace_dense_minus_global_dense,known_risk,-0.07709094017853332,-0.09395189358160812,-0.06037427927530141,namespace_group_within_source,10000,20260814
full_scope_policy_lifecycle,namespace_dense_minus_global_dense,coverage,-0.0005187205255603455,-0.0012521105924921435,-5.4122973527237565e-05,namespace_group_within_source,10000,20260814
full_scope_policy_lifecycle,namespace_dense_minus_global_dense,lower_bound,-0.0768582497523445,-0.09350305163016794,-0.06030625431467347,namespace_group_within_source,10000,20260814
full_scope_policy_lifecycle,namespace_dense_minus_global_dense,upper_bound,-0.076339529226784,-0.09290438628921599,-0.05996267188286805,namespace_group_within_source,10000,20260814
full_scope_policy_lifecycle,namespace_dense_minus_global_dense,any_known_violation,-0.15639859685591795,-0.19776981284897208,-0.11082067980384219,namespace_group_within_source,10000,20260814
full_scope_policy_lifecycle,namespace_dense_minus_global_dense,known_violation_count,-0.9153046641548654,-1.141023282812345,-0.6961288906329185,namespace_group_within_source,10000,20260814
full_scope_policy_lifecycle,namespace_dense_minus_global_dense,matched_prefix_count,-0.9153046641548652,-1.141023282812345,-0.6961288906329186,namespace_group_within_source,10000,20260814
scope_lifecycle_no_policy,namespace_dense_minus_global_dense,evidence_recall,0.00046511627906975495,0.0,0.0015075376884421954,namespace_group_within_source,10000,20260814
scope_lifecycle_no_policy,namespace_dense_minus_global_dense,known_risk,-0.08400552080594437,-0.10232378013229437,-0.06607560509787193,namespace_group_within_source,10000,20260814
scope_lifecycle_no_policy,namespace_dense_minus_global_dense,coverage,-0.0005187205255603455,-0.0012521105924921435,-5.4122973527237565e-05,namespace_group_within_source,10000,20260814
scope_lifecycle_no_policy,namespace_dense_minus_global_dense,lower_bound,-0.08364669601420505,-0.10187695024079332,-0.06582858555116913,namespace_group_within_source,10000,20260814
scope_lifecycle_no_policy,namespace_dense_minus_global_dense,upper_bound,-0.08312797548864466,-0.10119798275733144,-0.06546139297111771,namespace_group_within_source,10000,20260814
scope_lifecycle_no_policy,namespace_dense_minus_global_dense,any_known_violation,-0.22849162011173185,-0.278554854148146,-0.17603409446211932,namespace_group_within_source,10000,20260814
scope_lifecycle_no_policy,namespace_dense_minus_global_dense,known_violation_count,-0.9153046641548656,-1.1410232828123452,-0.6961288906329185,namespace_group_within_source,10000,20260814
scope_lifecycle_no_policy,namespace_dense_minus_global_dense,matched_prefix_count,-0.9153046641548652,-1.141023282812345,-0.6961288906329186,namespace_group_within_source,10000,20260814
