axis_family,arm,source,query_count,matched_query_count,evidence_recall,feasible,penalized_upper_risk,known_risk,coverage,lower_bound,upper_bound,any_known_violation,known_violation_count
full_scope_policy_lifecycle,global_dense,memops,3244,430,0.3809807605738563,0.13255240443896424,0.9071872459078136,0.287369292294413,0.9836485102724573,0.28345182591186635,0.29980331563940904,0.8,3.255813953488372
full_scope_policy_lifecycle,global_dense,rhelm,523,179,0.4821587908585994,0.3422562141491396,0.6889456423436674,0.09116520081417948,1.0,0.09116520081417948,0.09116520081417948,0.2569832402234637,0.9050279329608939
full_scope_policy_lifecycle,namespace_dense,memops,3244,618,0.48144853502436696,0.1905055487053021,0.8575317896407942,0.23966981347538371,0.9840683912725454,0.23622555242907559,0.2521571611565303,0.7928802588996764,2.7864077669902914
full_scope_policy_lifecycle,namespace_dense,rhelm,523,226,0.5843083249871013,0.4321223709369025,0.5678776290630975,0.0,1.0,0.0,0.0,0.0,0.0
scope_lifecycle_no_policy,global_dense,memops,3244,430,0.3809807605738563,0.13255240443896424,0.8846909920132503,0.1150011195514832,0.9836485102724573,0.11373590118172168,0.13008739090926458,0.4558139534883721,1.255813953488372
scope_lifecycle_no_policy,global_dense,rhelm,523,179,0.4821587908585994,0.3422562141491396,0.6889456423436674,0.09116520081417948,1.0,0.09116520081417948,0.09116520081417948,0.2569832402234637,0.9050279329608939
scope_lifecycle_no_policy,namespace_dense,memops,3244,618,0.48144853502436696,0.1905055487053021,0.8191188553788664,0.03514278415650564,0.9840683912725454,0.034588725979735634,0.050520334707190334,0.2686084142394822,0.36245954692556637
scope_lifecycle_no_policy,namespace_dense,rhelm,523,226,0.5843083249871013,0.4321223709369025,0.5678776290630975,0.0,1.0,0.0,0.0,0.0,0.0
