axis_family,arm,source,common_feasible_query_count,evidence_recall,known_risk,coverage,lower_bound,upper_bound,any_known_violation,known_violation_count,matched_prefix_count
full_scope_policy_lifecycle,global_dense,memops,430,0.9925581395348841,0.287369292294413,0.9836485102724573,0.28345182591186635,0.29980331563940904,0.8,3.255813953488372,10.102325581395348
full_scope_policy_lifecycle,global_dense,rhelm,179,0.9990689013035381,0.09116520081417948,1.0,0.09116520081417948,0.09116520081417948,0.2569832402234637,0.9050279329608939,5.575418994413408
full_scope_policy_lifecycle,namespace_dense,memops,430,0.9934883720930237,0.2243526127515258,0.9826110692213365,0.2209005272213568,0.23828945800002055,0.7441860465116279,2.3302325581395347,9.17674418604651
full_scope_policy_lifecycle,namespace_dense,rhelm,179,0.9990689013035381,0.0,1.0,0.0,0.0,0.0,0.0,4.670391061452514
scope_lifecycle_no_policy,global_dense,memops,430,0.9925581395348841,0.1150011195514832,0.9836485102724573,0.11373590118172168,0.13008739090926458,0.4558139534883721,1.255813953488372,10.102325581395348
scope_lifecycle_no_policy,global_dense,rhelm,179,0.9990689013035381,0.09116520081417948,1.0,0.09116520081417948,0.09116520081417948,0.2569832402234637,0.9050279329608939,5.575418994413408
scope_lifecycle_no_policy,namespace_dense,memops,430,0.9934883720930237,0.03815527875377396,0.9826110692213365,0.03760770996749107,0.05499664074615474,0.2558139534883721,0.3302325581395349,9.17674418604651
scope_lifecycle_no_policy,namespace_dense,rhelm,179,0.9990689013035381,0.0,1.0,0.0,0.0,0.0,0.0,4.670391061452514
