arm,seed_count,target_recall,infeasibility_cost,query_count,mean_evidence_recall,std_evidence_recall,mean_feasible_rate,std_feasible_rate,mean_penalized_admissibility_upper_risk,std_penalized_admissibility_upper_risk,mean_penalized_residual_upper_risk,std_penalized_residual_upper_risk,mean_conditional_admissibility_upper_risk,std_conditional_admissibility_upper_risk,mean_conditional_residual_upper_risk,std_conditional_residual_upper_risk,mean_returned_wrong_scope_rate,std_returned_wrong_scope_rate,mean_matched_prefix_wrong_scope_rate,std_matched_prefix_wrong_scope_rate,mean_mean_route_width,std_mean_route_width,mean_mean_candidates_scored,std_mean_candidates_scored
global_dense,1,0.8,0.0,3767,0.4315697757162279,0.0,0.23740430929405193,0.0,0.035470753419792264,0.0,0.016287067845112142,0.0,0.19548425822679427,0.0,0.12287266997568323,0.0,0.31658151657538625,0.0,0.0843390233327293,0.0,20.0,0.0,90121.7017208413,0.0
global_dense,1,0.8,0.25,3767,0.4315697757162279,0.0,0.23740430929405193,0.0,0.22611967609627925,0.0,0.20693599052159906,0.0,0.19548425822679427,0.0,0.12287266997568323,0.0,0.31658151657538625,0.0,0.0843390233327293,0.0,20.0,0.0,90121.7017208413,0.0
global_dense,1,0.8,0.5,3767,0.4315697757162279,0.0,0.23740430929405193,0.0,0.4167685987727665,0.0,0.3975849131980864,0.0,0.19548425822679427,0.0,0.12287266997568323,0.0,0.31658151657538625,0.0,0.0843390233327293,0.0,20.0,0.0,90121.7017208413,0.0
global_dense,1,0.8,0.75,3767,0.4315697757162279,0.0,0.23740430929405193,0.0,0.6074175214492534,0.0,0.5882338358745736,0.0,0.19548425822679427,0.0,0.12287266997568323,0.0,0.31658151657538625,0.0,0.0843390233327293,0.0,20.0,0.0,90121.7017208413,0.0
global_dense,1,0.8,1.0,3767,0.4315697757162279,0.0,0.23740430929405193,0.0,0.7980664441257406,0.0,0.7788827585510603,0.0,0.19548425822679427,0.0,0.12287266997568323,0.0,0.31658151657538625,0.0,0.0843390233327293,0.0,20.0,0.0,90121.7017208413,0.0
size_matched_random_partition,10,0.8,0.0,3767,0.060954023347894216,0.006995345975509509,0.024233413414499017,0.004582326659163225,0.0022799589640685462,0.0009369920049727292,3.0826140567200985e-05,6.498721044324659e-05,0.07878856422872924,0.06679598126711285,0.020833333333333332,0.04500514373894348,0.741393695199608,0.005480977178674465,0.05795523089539589,0.03982703120081534,20.0,0.0,1540.0841302548845,0.5221668614933332
size_matched_random_partition,10,0.8,0.25,3767,0.060954023347894216,0.006995345975509509,0.024233413414499017,0.004582326659163225,0.24622160561044376,0.0017886573774940542,0.24397247278694248,0.0011863042793527235,0.07878856422872924,0.06679598126711285,0.020833333333333332,0.04500514373894348,0.741393695199608,0.005480977178674465,0.05795523089539589,0.03982703120081534,20.0,0.0,1540.0841302548845,0.5221668614933332
size_matched_random_partition,10,0.8,0.5,3767,0.060954023347894216,0.006995345975509509,0.024233413414499017,0.004582326659163225,0.49016325225681906,0.0028540061513869916,0.4879141194333177,0.002331335893926427,0.07878856422872924,0.06679598126711285,0.020833333333333332,0.04500514373894348,0.741393695199608,0.005480977178674465,0.05795523089539589,0.03982703120081534,20.0,0.0,1540.0841302548845,0.5221668614933332
size_matched_random_partition,10,0.8,0.75,3767,0.060954023347894216,0.006995345975509509,0.024233413414499017,0.004582326659163225,0.7341048989031943,0.0039643564057303855,0.7318557660796928,0.0034767299231920007,0.07878856422872924,0.06679598126711285,0.020833333333333332,0.04500514373894348,0.741393695199608,0.005480977178674465,0.05795523089539589,0.03982703120081534,20.0,0.0,1540.0841302548845,0.5221668614933332
size_matched_random_partition,10,0.8,1.0,3767,0.060954023347894216,0.006995345975509509,0.024233413414499017,0.004582326659163225,0.9780465455495694,0.005090344488594617,0.9757974127260682,0.004622216953880153,0.07878856422872924,0.06679598126711285,0.020833333333333332,0.04500514373894348,0.741393695199608,0.005480977178674465,0.05795523089539589,0.03982703120081534,20.0,0.0,1540.0841302548845,0.5221668614933332
namespace_pre_filter,1,0.8,0.0,3767,0.5328784300057341,0.0,0.31131395982110227,0.0,0.024018669173048044,0.0,0.024018669173048044,0.0,0.12607858057826515,0.0,0.12607858057826515,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1551.24455090498,0.0
namespace_pre_filter,1,0.8,0.25,3767,0.5328784300057341,0.0,0.31131395982110227,0.0,0.19619017921777243,0.0,0.19619017921777243,0.0,0.12607858057826515,0.0,0.12607858057826515,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1551.24455090498,0.0
namespace_pre_filter,1,0.8,0.5,3767,0.5328784300057341,0.0,0.31131395982110227,0.0,0.368361689262497,0.0,0.368361689262497,0.0,0.12607858057826515,0.0,0.12607858057826515,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1551.24455090498,0.0
namespace_pre_filter,1,0.8,0.75,3767,0.5328784300057341,0.0,0.31131395982110227,0.0,0.5405331993072215,0.0,0.5405331993072215,0.0,0.12607858057826515,0.0,0.12607858057826515,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1551.24455090498,0.0
namespace_pre_filter,1,0.8,1.0,3767,0.5328784300057341,0.0,0.31131395982110227,0.0,0.7127047093519459,0.0,0.7127047093519459,0.0,0.12607858057826515,0.0,0.12607858057826515,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1551.24455090498,0.0
global_post_filter_20,1,0.8,0.0,3767,0.4315697757162279,0.0,0.23740430929405193,0.0,0.015792920305180154,0.0,0.015792920305180154,0.0,0.11914472900001027,0.0,0.11914472900001027,0.0,0.0,0.0,0.0,0.0,13.668369668492266,0.0,90121.7017208413,0.0
global_post_filter_20,1,0.8,0.25,3767,0.4315697757162279,0.0,0.23740430929405193,0.0,0.2064418429816671,0.0,0.2064418429816671,0.0,0.11914472900001027,0.0,0.11914472900001027,0.0,0.0,0.0,0.0,0.0,13.668369668492266,0.0,90121.7017208413,0.0
global_post_filter_20,1,0.8,0.5,3767,0.4315697757162279,0.0,0.23740430929405193,0.0,0.3970907656581545,0.0,0.3970907656581545,0.0,0.11914472900001027,0.0,0.11914472900001027,0.0,0.0,0.0,0.0,0.0,13.668369668492266,0.0,90121.7017208413,0.0
global_post_filter_20,1,0.8,0.75,3767,0.4315697757162279,0.0,0.23740430929405193,0.0,0.5877396883346416,0.0,0.5877396883346416,0.0,0.11914472900001027,0.0,0.11914472900001027,0.0,0.0,0.0,0.0,0.0,13.668369668492266,0.0,90121.7017208413,0.0
