arm,seed_count,target_recall,infeasibility_cost,query_count,mean_evidence_recall,std_evidence_recall,mean_feasible_rate,std_feasible_rate,mean_penalized_admissibility_upper_risk,std_penalized_admissibility_upper_risk,mean_penalized_residual_upper_risk,std_penalized_residual_upper_risk,mean_conditional_admissibility_upper_risk,std_conditional_admissibility_upper_risk,mean_conditional_residual_upper_risk,std_conditional_residual_upper_risk,mean_returned_wrong_scope_rate,std_returned_wrong_scope_rate,mean_matched_prefix_wrong_scope_rate,std_matched_prefix_wrong_scope_rate,mean_mean_route_width,std_mean_route_width,mean_mean_candidates_scored,std_mean_candidates_scored
global_dense,1,0.8,1.0,3767,0.4315697757162279,0.0,0.23740430929405193,0.0,0.7980664441257406,0.0,0.7788827585510603,0.0,0.19548425822679427,0.0,0.12287266997568323,0.0,0.31658151657538625,0.0,0.0843390233327293,0.0,20.0,0.0,90121.7017208413,0.0
size_matched_random_partition,10,0.8,1.0,3767,0.060954023347894216,0.006995345975509509,0.024233413414499017,0.004582326659163225,0.9780465455495694,0.005090344488594617,0.9757974127260682,0.004622216953880153,0.07878856422872924,0.06679598126711285,0.020833333333333332,0.04500514373894348,0.741393695199608,0.005480977178674465,0.05795523089539589,0.03982703120081534,20.0,0.0,1540.0841302548845,0.5221668614933332
namespace_pre_filter,1,0.8,1.0,3767,0.5328784300057341,0.0,0.31131395982110227,0.0,0.7127047093519459,0.0,0.7127047093519459,0.0,0.12607858057826515,0.0,0.12607858057826515,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1551.24455090498,0.0
global_post_filter_20,1,0.8,1.0,3767,0.4315697757162279,0.0,0.23740430929405193,0.0,0.778388611011128,0.0,0.778388611011128,0.0,0.11914472900001027,0.0,0.11914472900001027,0.0,0.0,0.0,0.0,0.0,13.668369668492266,0.0,90121.7017208413,0.0
global_post_filter_100,1,0.8,1.0,3767,0.5158949639092123,0.0,0.2987960712290141,0.0,0.7235457974297035,0.0,0.7235457974297035,0.0,0.1262665887262711,0.0,0.1262665887262711,0.0,0.0,0.0,0.0,0.0,18.712706853423175,0.0,90121.7017208413,0.0
global_post_filter_500,1,0.8,1.0,3767,0.5312622594931394,0.0,0.31069743700975827,0.0,0.7132725593097626,0.0,0.7132725593097626,0.0,0.1266427818575338,0.0,0.1266427818575338,0.0,0.0,0.0,0.0,0.0,19.823455804862867,0.0,90121.7017208413,0.0
