arm,seed_count,target_recall,infeasibility_cost,query_count,mean_evidence_recall,std_evidence_recall,mean_feasible_rate,std_feasible_rate,mean_penalized_admissibility_upper_risk,std_penalized_admissibility_upper_risk,mean_penalized_residual_upper_risk,std_penalized_residual_upper_risk,mean_conditional_admissibility_upper_risk,std_conditional_admissibility_upper_risk,mean_conditional_residual_upper_risk,std_conditional_residual_upper_risk,mean_returned_wrong_scope_rate,std_returned_wrong_scope_rate,mean_matched_prefix_wrong_scope_rate,std_matched_prefix_wrong_scope_rate,mean_mean_route_width,std_mean_route_width,mean_mean_candidates_scored,std_mean_candidates_scored
global_dense,1,0.5,1.0,3767,0.4315697757162279,0.0,0.4728010882865381,0.0,0.6109925316830633,0.0,0.5685582774539424,0.0,0.18496851831050157,0.0,0.0980773263611989,0.0,0.31658151657538625,0.0,0.0983271496372462,0.0,20.0,0.0,90121.7017208413,0.0
global_dense,1,0.7,1.0,3767,0.4315697757162279,0.0,0.26949886008115,0.0,0.7742290973690664,0.0,0.7513075416396,0.0,0.19692625655158258,0.0,0.11841397751247866,0.0,0.31658151657538625,0.0,0.09139660054714233,0.0,20.0,0.0,90121.7017208413,0.0
global_dense,1,0.8,1.0,3767,0.4315697757162279,0.0,0.23740430929405193,0.0,0.7980664441257406,0.0,0.7788827585510603,0.0,0.19548425822679427,0.0,0.12287266997568323,0.0,0.31658151657538625,0.0,0.0843390233327293,0.0,20.0,0.0,90121.7017208413,0.0
global_dense,1,0.9,1.0,3767,0.4315697757162279,0.0,0.23398219510412516,0.0,0.8011746979191731,0.0,0.7820550377762294,0.0,0.19930841815754,0.0,0.12566372817359944,0.0,0.31658151657538625,0.0,0.08582535927161174,0.0,20.0,0.0,90121.7017208413,0.0
global_dense,1,1.0,1.0,3767,0.4315697757162279,0.0,0.23398219510412516,0.0,0.8011746979191731,0.0,0.7820550377762294,0.0,0.19930841815754,0.0,0.12566372817359944,0.0,0.31658151657538625,0.0,0.08582535927161174,0.0,20.0,0.0,90121.7017208413,0.0
size_matched_random_partition,10,0.5,1.0,3767,0.060954023347894216,0.006995345975509509,0.061424592069371196,0.009231951969923335,0.9467505897397274,0.009114398866623599,0.9388173674712936,0.009239312792655958,0.13610823795961086,0.047173354011171745,0.03702655732067497,0.02565114715705999,0.741393695199608,0.005480977178674465,0.11436600959973546,0.04055376126999106,20.0,0.0,1540.0841302548845,0.5221668614933332
size_matched_random_partition,10,0.7,1.0,3767,0.060954023347894216,0.006995345975509509,0.024329015708954082,0.0044260615468002355,0.977986794115535,0.004992002762430217,0.9757018104316131,0.004464414494151526,0.07935068235083187,0.06766361767456229,0.020833333333333332,0.04500514373894348,0.741393695199608,0.005480977178674465,0.05851734901749854,0.04030859084910341,20.0,0.0,1540.0841302548845,0.5221668614933332
size_matched_random_partition,10,0.8,1.0,3767,0.060954023347894216,0.006995345975509509,0.024233413414499017,0.004582326659163225,0.9780465455495694,0.005090344488594617,0.9757974127260682,0.004622216953880153,0.07878856422872924,0.06679598126711285,0.020833333333333332,0.04500514373894348,0.741393695199608,0.005480977178674465,0.05795523089539589,0.03982703120081534,20.0,0.0,1540.0841302548845,0.5221668614933332
size_matched_random_partition,10,0.9,1.0,3767,0.060954023347894216,0.006995345975509509,0.024233413414499017,0.004582326659163225,0.9780465455495694,0.005090344488594617,0.9757974127260682,0.004622216953880153,0.07878856422872924,0.06679598126711285,0.020833333333333332,0.04500514373894348,0.741393695199608,0.005480977178674465,0.05795523089539589,0.03982703120081534,20.0,0.0,1540.0841302548845,0.5221668614933332
size_matched_random_partition,10,1.0,1.0,3767,0.060954023347894216,0.006995345975509509,0.024233413414499017,0.004582326659163225,0.9780465455495694,0.005090344488594617,0.9757974127260682,0.004622216953880153,0.07878856422872924,0.06679598126711285,0.020833333333333332,0.04500514373894348,0.741393695199608,0.005480977178674465,0.05795523089539589,0.03982703120081534,20.0,0.0,1540.0841302548845,0.5221668614933332
