reader_provider,reader_model,arm,reference,metric,mean_delta_arm_minus_reference,bootstrap_ci95_lower,bootstrap_ci95_upper,paired_query_count,namespace_group_count,bootstrap_replicates
DeepSeek,deepseek-v4-pro,released_field_oracle,global_dense,penalized_admissibility_upper_risk,-0.09942966968809797,-0.12116513313907568,-0.07710656539278277,3767,87,10000
DeepSeek,deepseek-v4-pro,released_field_oracle,global_dense,route_width,-2.450678175092478,-2.558513931888545,-2.3386430678466077,3767,87,10000
DeepSeek,deepseek-v4-pro,released_field_oracle,global_dense,wrong_namespace_exposure,-0.3165815165753867,-0.3518118524021313,-0.2778423181900051,3767,87,10000
DeepSeek,deepseek-v4-pro,released_field_oracle,global_dense,policy_disallowed_exposure,-0.09992293464858198,-0.10507402837754472,-0.09456586826347306,3767,87,10000
DeepSeek,deepseek-v4-pro,released_field_oracle,global_dense,lifecycle_incompatible_exposure,-0.014919852034525278,-0.016705951679434297,-0.013160348042262276,3767,87,10000
DeepSeek,deepseek-v4-pro,released_field_oracle,global_dense,unresolved_exposure,0.006931286722699686,0.005847368131635164,0.008076006098444461,3767,87,10000
DeepSeek,deepseek-v4-pro,released_field_oracle,global_dense,contains_reference_answer,0.01369258262938138,0.0029670663661752143,0.0245044738928531,3767,87,10000
DeepSeek,deepseek-v4-pro,released_field_oracle,global_dense,over_refusal,-0.04603291736708216,-0.06509934413580247,-0.02830247353960188,3767,87,10000
DeepSeek,deepseek-v4-pro,released_field_oracle,global_dense,literal_protected_disclosure,0.002354788069073783,-0.008935824532900082,0.014178482068390326,2548,80,10000
Gemini,gemini-3.6-flash,namespace_dense,global_dense,evidence_recall,0.10130865428950672,0.08161976216487496,0.1202685677298414,3767,87,10000
Gemini,gemini-3.6-flash,namespace_dense,global_dense,feasible,0.07390965052705038,0.05501199656369617,0.09426354746706506,3767,87,10000
Gemini,gemini-3.6-flash,namespace_dense,global_dense,penalized_admissibility_upper_risk,-0.084415414314897,-0.10583203550257052,-0.06281266048062423,3767,87,10000
Gemini,gemini-3.6-flash,namespace_dense,global_dense,route_width,0.0,0.0,0.0,3767,87,10000
Gemini,gemini-3.6-flash,namespace_dense,global_dense,wrong_namespace_exposure,-0.3165815165753867,-0.35156396465616596,-0.2786949883927664,3767,87,10000
Gemini,gemini-3.6-flash,namespace_dense,global_dense,policy_disallowed_exposure,0.006581381011097411,0.003375966686496133,0.00994747209455023,3767,87,10000
Gemini,gemini-3.6-flash,namespace_dense,global_dense,lifecycle_incompatible_exposure,0.0011097410604192356,0.00038437884378843804,0.0018690191387559809,3767,87,10000
Gemini,gemini-3.6-flash,namespace_dense,global_dense,unresolved_exposure,0.002358199753390876,0.0017933782955242184,0.0029710591133004925,3767,87,10000
Gemini,gemini-3.6-flash,namespace_dense,global_dense,contains_reference_answer,0.01369258262938138,0.0034897273269366294,0.022241570668605763,3767,87,10000
Gemini,gemini-3.6-flash,namespace_dense,global_dense,over_refusal,-0.03305469960132311,-0.04817273085271034,-0.02009631830047709,3767,87,10000
Gemini,gemini-3.6-flash,namespace_dense,global_dense,literal_protected_disclosure,0.00706436420722135,0.0,0.014820592823712949,2548,80,10000
Gemini,gemini-3.6-flash,namespace_policy_gate,global_dense,evidence_recall,0.10130865428950672,0.08184592061104917,0.12069500398741026,3767,87,10000
Gemini,gemini-3.6-flash,namespace_policy_gate,global_dense,feasible,0.07390965052705038,0.055207694858064274,0.09401101892481725,3767,87,10000
Gemini,gemini-3.6-flash,namespace_policy_gate,global_dense,penalized_admissibility_upper_risk,-0.10154492360441447,-0.12299227722337061,-0.080050326926553,3767,87,10000
Gemini,gemini-3.6-flash,namespace_policy_gate,global_dense,route_width,-2.1300863131935883,-2.2311664641555287,-2.028450363196126,3767,87,10000
Gemini,gemini-3.6-flash,namespace_policy_gate,global_dense,wrong_namespace_exposure,-0.3165815165753867,-0.3521231176643078,-0.27666318471112994,3767,87,10000
Gemini,gemini-3.6-flash,namespace_policy_gate,global_dense,policy_disallowed_exposure,-0.09992293464858198,-0.10510043942247332,-0.0947392923649907,3767,87,10000
Gemini,gemini-3.6-flash,namespace_policy_gate,global_dense,lifecycle_incompatible_exposure,0.006541031174314625,0.005239806787734828,0.007902428219092223,3767,87,10000
Gemini,gemini-3.6-flash,namespace_policy_gate,global_dense,unresolved_exposure,0.006048867121571481,0.005093802562847639,0.007066673055264088,3767,87,10000
Gemini,gemini-3.6-flash,namespace_policy_gate,global_dense,contains_reference_answer,0.01338432122370937,0.00255692993574894,0.022443954570651403,3767,87,10000
Gemini,gemini-3.6-flash,namespace_policy_gate,global_dense,over_refusal,-0.0265812100822109,-0.042182059594183245,-0.01290299773755656,3767,87,10000
Gemini,gemini-3.6-flash,namespace_policy_gate,global_dense,literal_protected_disclosure,0.011773940345368918,0.0031201248049922,0.02106084243369735,2548,80,10000
Gemini,gemini-3.6-flash,namespace_text_verifier,global_dense,evidence_recall,0.08180426509859667,0.0615954189375338,0.10107986654090956,3767,87,10000
Gemini,gemini-3.6-flash,namespace_text_verifier,global_dense,feasible,0.06139382486979934,0.042457849967914574,0.0825415560747092,3767,87,10000
Gemini,gemini-3.6-flash,namespace_text_verifier,global_dense,penalized_admissibility_upper_risk,-0.07694189940326393,-0.09866286455802745,-0.055210808165944834,3767,87,10000
Gemini,gemini-3.6-flash,namespace_text_verifier,global_dense,route_width,-1.343042487027087,-1.5747799439992851,-1.162409288824383,3767,87,10000
Gemini,gemini-3.6-flash,namespace_text_verifier,global_dense,wrong_namespace_exposure,-0.3165815165753867,-0.3519810145756892,-0.2772005022187524,3767,87,10000
Gemini,gemini-3.6-flash,namespace_text_verifier,global_dense,policy_disallowed_exposure,0.0076731722426155195,0.003993072940737964,0.011624256993535772,3767,87,10000
Gemini,gemini-3.6-flash,namespace_text_verifier,global_dense,lifecycle_incompatible_exposure,-0.0038602102461482777,-0.005080648356687301,-0.002677002693819595,3767,87,10000
Gemini,gemini-3.6-flash,namespace_text_verifier,global_dense,unresolved_exposure,0.002120537069262365,0.001407893032061445,0.0028727529615915153,3767,87,10000
Gemini,gemini-3.6-flash,namespace_text_verifier,global_dense,contains_reference_answer,0.011072360681169296,0.00030801794401971293,0.020177885494786902,3767,87,10000
Gemini,gemini-3.6-flash,namespace_text_verifier,global_dense,over_refusal,-0.024917011078549486,-0.04128928972344117,-0.009119973388527498,3767,87,10000
Gemini,gemini-3.6-flash,namespace_text_verifier,global_dense,literal_protected_disclosure,-0.003924646781789639,-0.013147410358565738,0.004916792738275341,2548,80,10000
