reader_provider,reader_model,arm,source,query_count,protected_disclosure_coverage,evidence_recall,feasible,penalized_admissibility_upper_risk,route_width,wrong_namespace_exposure,policy_disallowed_exposure,lifecycle_incompatible_exposure,unresolved_exposure,contains_reference_answer,over_refusal,literal_protected_disclosure
DeepSeek,deepseek-v4-pro,global_dense,memops,3244,0.7854500616522812,0.38098076057385555,0.13255240443896424,0.9099719288213981,20.0,0.268249075215783,0.19984586929716397,0.029839704069050555,0.014087546239210852,0.07891491985203453,0.22318125770653513,0.04631083202511774
DeepSeek,deepseek-v4-pro,global_dense,rhelm,523,0.0,0.4821587908585997,0.3422562141491396,0.6889456423436676,20.0,0.36491395793499043,0.0,0.0,0.0,0.0994263862332696,0.8202676864244742,
DeepSeek,deepseek-v4-pro,namespace_dense,memops,3244,0.7854500616522812,0.4814485350243673,0.1905055487053021,0.8622091134721741,20.0,0.0,0.21300863131935882,0.032059186189889025,0.0188039457459926,0.08261405672009864,0.1683107274969174,0.054945054945054944
DeepSeek,deepseek-v4-pro,namespace_dense,rhelm,523,0.0,0.5843083249871013,0.4321223709369025,0.5678776290630975,20.0,0.0,0.0,0.0,0.0,0.12619502868068833,0.7762906309751434,
DeepSeek,deepseek-v4-pro,namespace_policy_gate,memops,3244,0.7854500616522812,0.4814485350243673,0.1905055487053021,0.827950094893139,15.739827373612824,0.0,0.0,0.04292176641767981,0.02618528048235381,0.08199753390875462,0.17016029593094945,0.05729984301412873
DeepSeek,deepseek-v4-pro,namespace_policy_gate,rhelm,523,0.0,0.5843083249871013,0.4321223709369025,0.5678776290630975,20.0,0.0,0.0,0.0,0.0,0.12619502868068833,0.7762906309751434,
DeepSeek,deepseek-v4-pro,namespace_text_verifier,memops,3244,0.7854500616522812,0.44558097488892806,0.16738594327990136,0.8752440974063389,17.499383477188655,0.0,0.21519221378239503,0.022119283576754002,0.018328620377735583,0.08477188655980271,0.1686189889025894,0.036891679748822605
DeepSeek,deepseek-v4-pro,namespace_text_verifier,rhelm,523,0.0,0.5811671067407205,0.43021032504780116,0.5697896749521989,19.81453154875717,0.0,0.0,0.0,0.0,0.124282982791587,0.7743785850860421,
DeepSeek,deepseek-v4-pro,released_field_oracle,memops,3244,0.7854500616522812,0.4617858610768598,0.17509247842170161,0.832180602725772,15.098643649815044,0.0,0.0,0.0,0.02795011968461022,0.07953144266337854,0.17509247842170161,0.04866562009419152
DeepSeek,deepseek-v4-pro,released_field_oracle,rhelm,523,0.0,0.5843083249871013,0.4321223709369025,0.5678776290630975,20.0,0.0,0.0,0.0,0.0,0.12619502868068833,0.7762906309751434,
Gemini,gemini-3.6-flash,global_dense,memops,3244,0.7854500616522812,0.38098076057385555,0.13255240443896424,0.9099719288213981,20.0,0.268249075215783,0.19984586929716397,0.029839704069050555,0.014087546239210852,0.08877928483353884,0.1220715166461159,0.0423861852433281
Gemini,gemini-3.6-flash,global_dense,rhelm,523,0.0,0.4821587908585997,0.3422562141491396,0.6889456423436676,20.0,0.36491395793499043,0.0,0.0,0.0,0.15487571701720843,0.5697896749521989,
Gemini,gemini-3.6-flash,namespace_dense,memops,3244,0.7854500616522812,0.4814485350243673,0.1905055487053021,0.8622091134721741,20.0,0.0,0.21300863131935882,0.032059186189889025,0.0188039457459926,0.08939580764488286,0.09802712700369914,0.04945054945054945
Gemini,gemini-3.6-flash,namespace_dense,rhelm,523,0.0,0.5843083249871013,0.4321223709369025,0.5678776290630975,20.0,0.0,0.0,0.0,0.0,0.18164435946462715,0.5277246653919694,
Gemini,gemini-3.6-flash,namespace_policy_gate,memops,3244,0.7854500616522812,0.4814485350243673,0.1905055487053021,0.827950094893139,15.739827373612824,0.0,0.0,0.04292176641767981,0.02618528048235381,0.08877928483353884,0.11097410604192355,0.05416012558869702
Gemini,gemini-3.6-flash,namespace_policy_gate,rhelm,523,0.0,0.5843083249871013,0.4321223709369025,0.5678776290630975,20.0,0.0,0.0,0.0,0.0,0.18164435946462715,0.5277246653919694,
Gemini,gemini-3.6-flash,namespace_text_verifier,memops,3244,0.7854500616522812,0.44558097488892806,0.16738594327990136,0.8752440974063389,17.499383477188655,0.0,0.21519221378239503,0.022119283576754002,0.018328620377735583,0.0841553637484587,0.11621454993834772,0.038461538461538464
Gemini,gemini-3.6-flash,namespace_text_verifier,rhelm,523,0.0,0.5811671067407205,0.43021032504780116,0.5697896749521989,19.81453154875717,0.0,0.0,0.0,0.0,0.18164435946462715,0.5258126195028681,
Gemini,gemini-3.6-flash,released_field_oracle,memops,3244,0.7854500616522812,0.4617858610768598,0.17509247842170161,0.832180602725772,15.098643649815044,0.0,0.0,0.0,0.02795011968461022,0.08816276202219482,0.11159062885326756,0.05180533751962323
Gemini,gemini-3.6-flash,released_field_oracle,rhelm,523,0.0,0.5843083249871013,0.4321223709369025,0.5678776290630975,20.0,0.0,0.0,0.0,0.0,0.18164435946462715,0.5277246653919694,
DeepSeek,deepseek-v4-pro,global_dense,equal_source_macro,3767,0.67640031855588,0.4315697757162276,0.23740430929405193,0.7994587855825328,20.0,0.3165815165753867,0.09992293464858198,0.014919852034525278,0.007043773119605426,0.08917065304265206,0.5217244720655047,
DeepSeek,deepseek-v4-pro,namespace_dense,equal_source_macro,3767,0.67640031855588,0.5328784300057343,0.31131395982110227,0.7150433712676358,20.0,0.0,0.10650431565967941,0.016029593094944512,0.0094019728729963,0.10440454270039348,0.47230067923603036,
DeepSeek,deepseek-v4-pro,namespace_policy_gate,equal_source_macro,3767,0.67640031855588,0.5328784300057343,0.31131395982110227,0.6979138619781182,17.869913686806413,0.0,0.0,0.021460883208839904,0.013092640241176906,0.10409628129472148,0.4732254634530464,
DeepSeek,deepseek-v4-pro,namespace_text_verifier,equal_source_macro,3767,0.67640031855588,0.5133740408148243,0.29879813416385126,0.7225168861792689,18.656957512972912,0.0,0.10759610689119752,0.011059641788377001,0.009164310188867791,0.10452743467569486,0.47149878699431574,
DeepSeek,deepseek-v4-pro,released_field_oracle,equal_source_macro,3767,0.67640031855588,0.5230470930319806,0.303607424679302,0.7000291158944347,17.549321824907523,0.0,0.0,0.0,0.01397505984230511,0.10286323567203343,0.4756915546984225,
Gemini,gemini-3.6-flash,global_dense,equal_source_macro,3767,0.67640031855588,0.4315697757162276,0.23740430929405193,0.7994587855825328,20.0,0.3165815165753867,0.09992293464858198,0.014919852034525278,0.007043773119605426,0.12182750092537363,0.3459305957991574,
Gemini,gemini-3.6-flash,namespace_dense,equal_source_macro,3767,0.67640031855588,0.5328784300057343,0.31131395982110227,0.7150433712676358,20.0,0.0,0.10650431565967941,0.016029593094944512,0.0094019728729963,0.135520083554755,0.3128758961978343,
Gemini,gemini-3.6-flash,namespace_policy_gate,equal_source_macro,3767,0.67640031855588,0.5328784300057343,0.31131395982110227,0.6979138619781182,17.869913686806413,0.0,0.0,0.021460883208839904,0.013092640241176906,0.135211822149083,0.3193493857169465,
Gemini,gemini-3.6-flash,namespace_text_verifier,equal_source_macro,3767,0.67640031855588,0.5133740408148243,0.29879813416385126,0.7225168861792689,18.656957512972912,0.0,0.10759610689119752,0.011059641788377001,0.009164310188867791,0.13289986160654294,0.32101358472060787,
Gemini,gemini-3.6-flash,released_field_oracle,equal_source_macro,3767,0.67640031855588,0.5230470930319806,0.303607424679302,0.7000291158944347,17.549321824907523,0.0,0.0,0.0,0.01397505984230511,0.13490356074341098,0.31965764712261846,
