claim_id,family,population,source,contrast,metric,estimate,ci95_lower,ci95_upper,n,notes
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",gemini-3.6-flash,namespace_dense_minus_global_dense,evidence_recall,0.10402099722298097,0.08342454334136107,0.1243956022003487,1523,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;prespecified_two_reader_execution
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",gemini-3.6-flash,namespace_dense_minus_global_dense,feasible,0.07493307839388146,0.0550117244527137,0.09610959866514446,1523,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;prespecified_two_reader_execution
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",gemini-3.6-flash,namespace_dense_minus_global_dense,over_refusal,-0.04053250478011472,-0.05739330863956986,-0.02489747947045475,1523,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;prespecified_two_reader_execution
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",gemini-3.6-flash,namespace_dense_minus_global_dense,penalized_admissibility_upper_risk,-0.08474888331632655,-0.10663983746110495,-0.06262257189573994,1523,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;prespecified_two_reader_execution
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",gemini-3.6-flash,namespace_dense_minus_global_dense,protected_disclosure,0.012706480304955527,-0.005076142131979695,0.030927835051546393,787,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;prespecified_two_reader_execution
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",gemini-3.6-flash,namespace_dense_minus_global_dense,stale_disclosure,0.0,-0.011518324607329843,0.012084592145015106,1000,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;prespecified_two_reader_execution
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",gemini-3.6-flash,namespace_policy_gate_minus_namespace_dense,answer_correct,-0.0045,-0.019956850053937433,0.011439466158245948,1523,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;prespecified_two_reader_execution
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",gemini-3.6-flash,namespace_policy_gate_minus_namespace_dense,penalized_admissibility_upper_risk,-0.019200305740011622,-0.022980833573497114,-0.015690832511635923,1523,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;prespecified_two_reader_execution
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",gemini-3.6-flash,namespace_text_verifier_minus_namespace_dense,answer_correct,-0.014868068833652008,-0.02826788870149825,-0.0010581427390465691,1523,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;prespecified_two_reader_execution
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",gemini-3.6-flash,namespace_text_verifier_minus_namespace_dense,penalized_admissibility_upper_risk,0.006754085054009838,0.002406702503193534,0.011451048402700982,1523,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;prespecified_two_reader_execution
