provider,model,stratum,axis,known_count,positive_count,positive_rate,accuracy,balanced_accuracy,brier,ece_10,roc_auc,pr_auc,aggregation_note
OpenAI,gpt-5.6-sol,rhelm/current_state,admissibility,480,0,0.0,0.9604166666666667,,0.03213540625,0.044906249999999995,,,known_candidate_micro_within_stratum
OpenAI,gpt-5.6-sol,equal_stratum_macro,admissibility,1411,220,0.1575104760849901,0.7878845461593841,0.580685975600413,0.19064700218886332,0.19345358044433367,0.6261786588972855,0.35151760041565244,equal_stratum_macro_available_metrics
Gemini,gemini-3.6-flash,memops/current_state,query_intent,24,,,0.8333333333333334,,0.2854729166666667,0.08125,,,query_micro_within_stratum
Gemini,gemini-3.6-flash,memops/history,query_intent,24,,,0.875,,0.19479166666666667,0.08541666666666675,,,query_micro_within_stratum
Gemini,gemini-3.6-flash,rhelm/current_state,query_intent,24,,,0.16666666666666666,,1.5958333333333332,0.7958333333333334,,,query_micro_within_stratum
Gemini,gemini-3.6-flash,equal_stratum_macro,query_intent,72,,,0.625,,0.6920326388888888,0.32083333333333336,,,equal_stratum_macro_available_metrics
Gemini,gemini-3.6-flash,memops/current_state,policy,480,100,0.20833333333333334,0.7833333333333333,0.49842105263157893,0.21439708333333335,0.21368750000000003,0.5412894736842105,0.23020512820512823,known_candidate_micro_within_stratum
Gemini,gemini-3.6-flash,memops/history,policy,480,106,0.22083333333333333,0.78125,0.5047169811320755,0.21875,0.21875,0.5047169811320755,0.22818396226415094,known_candidate_micro_within_stratum
Gemini,gemini-3.6-flash,rhelm/current_state,policy,480,0,0.0,1.0,,1.6666666666666667e-05,0.0008333333333333334,,,known_candidate_micro_within_stratum
Gemini,gemini-3.6-flash,equal_stratum_macro,policy,1440,206,0.14305555555555557,0.8548611111111111,0.5015690168818272,0.14438791666666667,0.14442361111111113,0.5230032274081431,0.22919454523463959,equal_stratum_macro_available_metrics
Gemini,gemini-3.6-flash,memops/current_state,lifecycle,468,14,0.029914529914529916,0.8803418803418803,0.7306482064191315,0.09223557692307693,0.10341880341880341,0.7876809314033983,0.13785101428107163,known_candidate_micro_within_stratum
Gemini,gemini-3.6-flash,memops/history,lifecycle,463,0,0.0,1.0,,0.00021598272138228947,0.004319654427645789,,,known_candidate_micro_within_stratum
Gemini,gemini-3.6-flash,rhelm/current_state,lifecycle,480,0,0.0,1.0,,0.0004739583333333334,0.0059375,,,known_candidate_micro_within_stratum
Gemini,gemini-3.6-flash,equal_stratum_macro,lifecycle,1411,14,0.009971509971509971,0.9601139601139601,0.7306482064191315,0.030975172659264184,0.0378919859488164,0.7876809314033983,0.13785101428107163,equal_stratum_macro_available_metrics
Gemini,gemini-3.6-flash,memops/current_state,admissibility,468,114,0.24358974358974358,0.7200854700854701,0.5443800178412133,0.2585443376068376,0.25459401709401713,0.5707205867776787,0.28502888713384156,known_candidate_micro_within_stratum
Gemini,gemini-3.6-flash,memops/history,admissibility,463,106,0.22894168466522677,0.7732181425485961,0.5047169811320755,0.22613390928725702,0.2224622030237581,0.4736403995560488,0.23217844367204418,known_candidate_micro_within_stratum
Gemini,gemini-3.6-flash,rhelm/current_state,admissibility,480,0,0.0,1.0,,0.0005781250000000002,0.008020833333333333,,,known_candidate_micro_within_stratum
Gemini,gemini-3.6-flash,equal_stratum_macro,admissibility,1411,220,0.1575104760849901,0.8311012042113554,0.5245484994866444,0.1617521239646982,0.16169235115036953,0.5221804931668638,0.2586036654029429,equal_stratum_macro_available_metrics
