provider,model,cases,provider_calls,input_tokens,output_tokens,cost_usd,mean_cost_usd_per_case,mean_latency_ms,p50_latency_ms,p95_latency_ms
OpenAI,gpt-5.6-sol,96,96,424235,177400,7.443175,0.07753307291666667,20556.630809373928,19998.860800027614,25844.35040000244
Gemini,gemini-3.6-flash,96,96,438657,211038,2.2407705,0.023341359375,8923.039548958513,9013.413699984085,13942.926899995655
