provider,model,arm,comparator,metric,delta_direction,estimate,ci_lower,ci_upper,bootstrap_replicates,bootstrap_unit,bootstrap_stratification,analysis_queries,stratum_group_count
Gemini,gemini-3.6-flash,text_inferred,released_oracle,evidence_recall,arm_minus_comparator,-0.013888888888888888,-0.03333333333333333,0.0,10000,namespace_group,source_query_intent,72,27
Gemini,gemini-3.6-flash,text_inferred,released_oracle,feasible_rate,arm_minus_comparator,-0.027777777777777776,-0.06666666666666667,0.0,10000,namespace_group,source_query_intent,72,27
Gemini,gemini-3.6-flash,text_inferred,released_oracle,penalized_admissibility_upper_risk,arm_minus_comparator,0.049913724392891066,0.00670614498275258,0.10426449716243434,10000,namespace_group,source_query_intent,72,27
Gemini,gemini-3.6-flash,text_inferred,released_oracle,mean_route_width,arm_minus_comparator,2.652777777777778,2.0150344611528825,3.2748658505237453,10000,namespace_group,source_query_intent,72,27
Gemini,gemini-3.6-flash,abstaining_verifier,namespace_dense,evidence_recall,arm_minus_comparator,-0.013888888888888888,-0.03333333333333333,0.0,10000,namespace_group,source_query_intent,72,27
Gemini,gemini-3.6-flash,abstaining_verifier,namespace_dense,feasible_rate,arm_minus_comparator,-0.027777777777777776,-0.06666666666666667,0.0,10000,namespace_group,source_query_intent,72,27
Gemini,gemini-3.6-flash,abstaining_verifier,namespace_dense,penalized_admissibility_upper_risk,arm_minus_comparator,0.017956349206349205,0.0,0.04321428571428571,10000,namespace_group,source_query_intent,72,27
Gemini,gemini-3.6-flash,abstaining_verifier,namespace_dense,mean_route_width,arm_minus_comparator,-0.40277777777777785,-0.8127240896358542,-0.125,10000,namespace_group,source_query_intent,72,27
Gemini,gemini-3.6-flash,abstaining_verifier,released_oracle,evidence_recall,arm_minus_comparator,-0.013888888888888888,-0.03333333333333333,0.0,10000,namespace_group,source_query_intent,72,27
Gemini,gemini-3.6-flash,abstaining_verifier,released_oracle,feasible_rate,arm_minus_comparator,-0.027777777777777776,-0.06666666666666667,0.0,10000,namespace_group,source_query_intent,72,27
Gemini,gemini-3.6-flash,abstaining_verifier,released_oracle,penalized_admissibility_upper_risk,arm_minus_comparator,0.049913724392891066,0.00670614498275258,0.10426449716243434,10000,namespace_group,source_query_intent,72,27
Gemini,gemini-3.6-flash,abstaining_verifier,released_oracle,mean_route_width,arm_minus_comparator,2.652777777777778,2.0150344611528825,3.2748658505237453,10000,namespace_group,source_query_intent,72,27
