channel,rate,seeds,query_count,mean_evidence_recall,std_evidence_recall,mean_feasible_rate,std_feasible_rate,mean_penalized_admissibility_upper_risk,std_penalized_admissibility_upper_risk,mean_infeasibility_risk_component,std_infeasibility_risk_component,mean_admissibility_conditional_risk_component,std_admissibility_conditional_risk_component,mean_matched_prefix_wrong_scope_exposure_rate,std_matched_prefix_wrong_scope_exposure_rate,mean_returned_wrong_scope_rate,std_returned_wrong_scope_rate,mean_known_relevant_inadmissible_rate,std_known_relevant_inadmissible_rate,mean_joint_label_coverage,std_joint_label_coverage,mean_candidates_scored,std_candidates_scored
namespace_false_allow,0.0,10,3767,0.8656633800606315,0.0,0.7618665905934886,1.1702778228589004e-16,0.3537144372628588,5.851389114294502e-17,0.23813340940651134,0.0,0.11558102785634768,1.4628472785736255e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.22179411857977033,0.0,1551.2445509049799,2.396728981215028e-13
namespace_false_allow,0.02,10,3767,0.8537979176141661,0.0006751329179079369,0.7402158242426671,0.0010835719119059353,0.39027746130723523,0.0007918992707578613,0.2597841757573328,0.0010835719119059392,0.13049328554990236,0.0006317133636306286,0.03240203746548308,0.0007821668468204304,0.08812832620733742,0.0005342149630067897,0.0,0.0,0.22062496431874812,0.0005803077760837709,3322.579886208515,0.35310050894240563
namespace_false_allow,0.05,10,3767,0.8389839291622415,0.0007648906439796255,0.7155545286724366,0.0015905896938902093,0.4258178542413707,0.0014129393612327375,0.2844454713275634,0.0015905896938902054,0.14137238291380697,0.0009396593440875383,0.05964219370616419,0.0011619930153902846,0.15318424601499864,0.0006490255895529842,0.0,0.0,0.22131283777630428,0.000934728319245162,5979.485241410529,0.7559404862226271
namespace_false_allow,0.1,10,3767,0.8213977576843243,0.000709484825805,0.6851170744990605,0.0019598798582091542,0.4639396466119269,0.0014562138247726985,0.31488292550093955,0.0019598798582091477,0.14905672111098686,0.0009436489637840831,0.0868759772995208,0.0011218512722373259,0.22036909470167507,0.00036675894637253976,0.0,0.0,0.22166179890479518,0.0007083673453486618,10408.185476938748,1.1615270527136368
namespace_false_allow,0.2,10,3767,0.7994446868158986,0.0007230015674387395,0.6531497773209195,0.001370193914209117,0.5069718998966123,0.001191319931575121,0.3468502226790805,0.0013701939142091474,0.16012167721753118,0.0011272690117463309,0.12180660843273303,0.001550674044767351,0.3005136834467744,0.0006391668120304733,0.0,0.0,0.22128678707329877,0.0008242014597432181,19265.317074764294,2.1216131773408256
namespace_false_allow,0.3,10,3767,0.7827254110189499,0.0006360120774501535,0.6271469257555646,0.0018248594402101124,0.5364725202777694,0.0013915377657820612,0.3728530742444354,0.001824859440210114,0.1636194460333334,0.0010057418608024782,0.1415397179249333,0.001325985708241455,0.3510857299724389,0.000647379548395309,0.0,0.0,0.2232366245148897,0.001013314558966812,28122.23504407608,1.803531104931827
namespace_false_allow,0.4,10,3767,0.7683916323863969,0.0008633060481154916,0.6047663520003395,0.0014272321423943414,0.5598037638423099,0.001316876444509752,0.39523364799966054,0.0014272321423943611,0.16457011584264902,0.0007348143480651533,0.15547247428202035,0.0010365910351975058,0.38782924440001515,0.0004823830739851218,0.0,0.0,0.22534821670936345,0.0006475978780558545,36978.6439049706,1.7095836550512291
namespace_false_allow,0.5,10,3767,0.7578012077005267,0.0012996161437367343,0.5891131561016897,0.002015900117879697,0.5769199057360483,0.0012885142266199701,0.41088684389831026,0.002015900117879713,0.16603306183773792,0.001089553677931341,0.16721074429732483,0.0013089180571548317,0.4159489971779043,0.0003768459254754553,0.0,0.0,0.22673530296968664,0.0013978747295746994,45836.30615078757,1.943795277841934
namespace_swap,0.0,10,3767,0.8656633800606315,0.0,0.7618665905934886,1.1702778228589004e-16,0.3537144372628588,5.851389114294502e-17,0.23813340940651134,0.0,0.11558102785634768,1.4628472785736255e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.22179411857977033,0.0,1551.2445509049799,2.396728981215028e-13
namespace_swap,0.02,10,3767,0.8521393516271585,0.002564483425618728,0.7359376805067982,0.004580012369048754,0.3767570831241976,0.004066096997648504,0.2640623194932018,0.0045800123690487625,0.11269476363099576,0.001291703859892025,0.0026978448362219203,0.0004496749947195812,0.007331992309612086,0.0006924855481753695,0.0,0.0,0.22401048868522647,0.0019585762163106123,1549.2553682279745,0.29006792410644017
