analysis_schema_version,base_setting_id,top_k,metric_schema_version,setting_id,arm,source_count,query_count,feasible_rate,penalized_non_usable_upper_risk,penalized_non_usable_known_risk,penalized_admissibility_upper_risk,penalized_admissibility_known_risk,infeasibility_risk_component,non_usable_conditional_risk_component,admissibility_conditional_risk_component,conditional_non_usable_upper_risk,conditional_admissibility_upper_risk,evidence_recall,candidates_scored,matched_query_count,matched_recall_evaluable_rate,matched_mean_evidence_recall,matched_feasible_rate,matched_matched_recall_evaluable_rate,matched_non_usable_known_rate,matched_non_usable_label_coverage,matched_non_usable_lower_bound,matched_non_usable_upper_bound,matched_admissibility_violation_known_rate,matched_admissibility_label_coverage,matched_admissibility_violation_lower_bound,matched_admissibility_violation_upper_bound,matched_known_relevant_admissible_rate,matched_known_relevant_inadmissible_rate,matched_known_irrelevant_admissible_rate,matched_known_irrelevant_inadmissible_rate,matched_joint_label_coverage,matched_wrong_scope_exposure_rate,matched_policy_disallowed_exposure_rate,matched_lifecycle_incompatible_exposure_rate,matched_unresolved_admissibility_rate,matched_mean_route_width,matched_mean_matched_prefix_count,matched_mean_candidates_scored,matched_mean_latency_ms,mean_returned_count,mean_original_top100_route_latency_ms,latency_claim_eligible,ranking_reused,evaluation_retuning,provider_calls,reader_calls,judge_calls
1,e4d905f89eee,5,2,e4d905f89eee:top_k=5,global_bm25,2,3767,0.0997929992243365,0.9313692327218404,0.9069628667799905,0.9050082949627454,0.9050082949627454,0.9002070007756635,0.03116223194617666,0.004801294187081862,0.37365785256410267,0.0799813034188034,0.17086067891456802,90121.7017208413,3767,1.0,0.17086067891456802,0.0997929992243365,0.0997929992243365,0.10847355769230771,0.7063234508547007,0.0799813034188034,0.37365785256410267,0.0799813034188034,1.0,0.0799813034188034,0.0799813034188034,0.6263421474358976,0.0,0.0,0.0,0.6263421474358976,0.04023771367521367,0.028205128205128202,0.01153846153846154,0.0,0.0,2.6506410256410255,90121.7017208413,,5.0,259.0849931509076,False,True,False,0,0,0
1,e4d905f89eee,10,2,e4d905f89eee:top_k=10,global_bm25,2,3767,0.13463891567429678,0.9227454994433542,0.8856971890833494,0.8785665935386675,0.8785665935386675,0.8653610843257032,0.05738441511765051,0.01320550921296407,0.509299653838991,0.15741911498899078,0.22870914140034587,90121.7017208413,3767,1.0,0.22870914140034587,0.13463891567429678,0.13463891567429678,0.23546164842748696,0.6481194611499996,0.15741911498899078,0.509299653838991,0.15741911498899078,1.0,0.15741911498899078,0.15741911498899078,0.4907003461610088,0.0,0.0,0.0,0.4907003461610088,0.11020551940582998,0.04306418219461696,0.01245255348516218,0.0,0.0,4.541062801932367,90121.7017208413,,10.0,259.0849931509076,False,True,False,0,0,0
1,e4d905f89eee,20,2,e4d905f89eee:top_k=20,global_bm25,2,3767,0.1671083311918105,0.9191809929648345,0.8738314794120721,0.8576658296340308,0.8575976885421899,0.8328916688081895,0.08628932415664438,0.024774160825841357,0.601427547092561,0.19955288828569584,0.2941099421334148,90121.7017208413,3767,1.0,0.2941099421334148,0.1671083311918105,0.1671083311918105,0.3382972503819818,0.5960779701613883,0.19750551725394982,0.601427547092561,0.1981713276486205,0.997952628968254,0.19750551725394982,0.19955288828569584,0.3985724529074386,0.0,0.0,0.0,0.3985724529074386,0.13633410186378436,0.06063207625707624,0.011346951659451657,0.0020473710317460312,0.0,7.633263422818792,90121.7017208413,,20.0,259.0849931509076,False,True,False,0,0,0
1,e4d905f89eee,50,2,e4d905f89eee:top_k=50,global_bm25,2,3767,0.22658804723767134,0.915304660345792,0.8602382507100503,0.8213075337537867,0.8210557537821509,0.7734119527623287,0.14189270758346312,0.047895580991457985,0.6986397859573177,0.26365865346515205,0.3795619822852188,90121.7017208413,3767,1.0,0.3795619822852188,0.22658804723767134,0.22658804723767134,0.47665638851556325,0.5608098716525041,0.2594496576098213,0.6986397859573177,0.2609718961362482,0.9957910041446691,0.2594496576098213,0.26365865346515205,0.3013602140426823,0.0,0.0,0.0,0.3013602140426823,0.19284401566474363,0.06802941464773793,0.0129056619667314,0.004208995855330638,0.0,16.244820828667415,90121.7017208413,,50.0,259.0849931509076,False,True,False,0,0,0
1,e4d905f89eee,100,2,e4d905f89eee:top_k=100,global_bm25,2,3767,0.283601672038156,0.9133942077399833,0.8558992460732844,0.7946996406302074,0.7943766679594298,0.716398327961844,0.19699587977813898,0.07830131266836339,0.7532669223747658,0.3293705029496867,0.4477690314018542,90121.7017208413,3767,1.0,0.4477690314018542,0.283601672038156,0.283601672038156,0.572384251721882,0.5720926877921004,0.3253596101668652,0.7532669223747658,0.3269452174311632,0.9959891072171785,0.3253596101668652,0.3293705029496867,0.24673307762523514,0.0,0.0,0.0,0.24673307762523514,0.2619063140383594,0.06922685612885104,0.012482558828369262,0.004010892782821705,0.0,29.06924049600261,90121.7017208413,,100.0,259.0849931509076,False,True,False,0,0,0
1,a37347ceb645,5,2,a37347ceb645:top_k=5,global_dense,2,3767,0.12692825466282215,0.910434540523506,0.8807146340275009,0.8794540629599854,0.879094424653368,0.8730717453371779,0.03736279518632821,0.0063823176228074915,0.40480216622458004,0.11829686118479216,0.23823251284286834,90121.7017208413,3767,1.0,0.23823251284286834,0.12692825466282215,0.12692825466282215,0.1393346595932803,0.7008344385499558,0.10563660477453574,0.40480216622458004,0.10707891246684345,0.9873397435897435,0.10563660477453574,0.11829686118479216,0.5951978337754198,0.0,0.0,0.0,0.5951978337754198,0.02999557913351017,0.055608974358974356,0.02820512820512821,0.01266025641025641,0.0,2.7264588859416445,90121.7017208413,,5.0,20.476742584803095,False,True,False,0,0,0
1,a37347ceb645,10,2,a37347ceb645:top_k=10,global_dense,2,3767,0.1702805355614601,0.9012188661032358,0.854051662259564,0.8460547594498226,0.8455538346656056,0.8297194644385398,0.07149940166469577,0.0163352950112828,0.513178076394877,0.14726221914822263,0.3223367172107227,90121.7017208413,3767,1.0,0.3223367172107227,0.1702805355614601,0.1702805355614601,0.2195451728226503,0.625621486857654,0.13879956325253107,0.513178076394877,0.14000775486250833,0.9915373441043083,0.13879956325253107,0.14726221914822263,0.4868219236051229,0.0,0.0,0.0,0.4868219236051229,0.0581235428443678,0.06952062074829927,0.0218236252834467,0.008462655895691612,0.0,4.49283199195171,90121.7017208413,,10.0,20.476742584803095,False,True,False,0,0,0
1,a37347ceb645,20,2,a37347ceb645:top_k=20,global_dense,2,3767,0.23740430929405193,0.8914745110484323,0.8230172629167065,0.7980664441257406,0.7972423642801261,0.7625956907059481,0.1288788203424836,0.035470753419792264,0.6069027025757774,0.19548425822679427,0.4315697757162279,90121.7017208413,3767,1.0,0.4315697757162279,0.23740430929405193,0.23740430929405193,0.3284750312410436,0.5804058107872451,0.1873085133630229,0.6069027025757774,0.18926724655429622,0.9918242551362286,0.1873085133630229,0.19548425822679427,0.39309729742422284,0.0,0.0,0.0,0.39309729742422284,0.0843390233327293,0.09432560321735217,0.019209718879691508,0.008175744863771353,0.0,7.838872287904378,90121.7017208413,,20.0,20.476742584803095,False,True,False,0,0,0
1,a37347ceb645,50,2,a37347ceb645:top_k=50,global_dense,2,3767,0.3990558831365097,0.8784790011140147,0.7804707226235894,0.6983508942334946,0.6967599943333069,0.6009441168634903,0.277534884250523,0.09740677737000389,0.7208611172085958,0.2652082611217369,0.6032211289041816,90121.7017208413,3767,1.0,0.6032211289041816,0.3990558831365097,0.3990558831365097,0.4865732370071447,0.5369106449460292,0.2577717621546246,0.7208611172085958,0.2601781643613007,0.9925635010328882,0.2577717621546246,0.2652082611217369,0.27913888279140425,0.0,0.0,0.0,0.27913888279140425,0.14619878658837723,0.1111874311125681,0.01573936739928729,0.00743649896711211,0.0,19.381474519632413,90121.7017208413,,50.0,20.476742584803095,False,True,False,0,0,0
1,a37347ceb645,100,2,a37347ceb645:top_k=100,global_dense,2,3767,0.5388709970223009,0.8726259926184724,0.7660278622629063,0.6276493730238182,0.6254780375108963,0.4611290029776991,0.41149698964077164,0.16652037004611903,0.7698298754198192,0.31452199247890666,0.7168351167568718,90121.7017208413,3767,1.0,0.7168351167568718,0.5388709970223009,0.5388709970223009,0.5753141896331904,0.5380305342399545,0.3078604096597721,0.7698298754198192,0.3102633392721863,0.9933384171808664,0.3078604096597721,0.31452199247890666,0.23017012458018243,0.0,0.0,0.0,0.23017012458018243,0.2014696300923446,0.11243984222779431,0.014073557599598961,0.006661582819134804,0.0,33.411810568400654,90121.7017208413,,100.0,20.476742584803095,False,True,False,0,0,0
