channel,rate,seeds,mean_evidence_recall,std_evidence_recall,mean_feasible_rate,std_feasible_rate,mean_penalized_admissibility_upper_risk,std_penalized_admissibility_upper_risk,mean_infeasibility_risk_component,std_infeasibility_risk_component,mean_admissibility_conditional_risk_component,std_admissibility_conditional_risk_component,mean_candidates_scored,std_candidates_scored
policy_false_allow,0.0,10,0.8761525860183946,0.0,0.7788209679054493,1.1702778228589004e-16,0.23015999934986392,2.925694557147251e-17,0.2211790320945508,0.0,0.008980967255313266,1.828559098217032e-18,1517.5583610159542,0.0
policy_false_allow,0.02,10,0.875734231253554,0.0001226151277886203,0.7777420529855973,0.00032493605221624024,0.2340816440815702,0.00041273182693769877,0.22225794701440288,0.0003249360522162344,0.011823697067167589,0.00015809702240639423,1518.1974948014042,0.01126175340348865
policy_false_allow,0.05,10,0.8749693087103484,0.00013611047984698674,0.7761853328869535,0.0003365088962970076,0.2398408837558851,0.0003048075584166541,0.22381466711304646,0.00033650889629701904,0.016026216642839007,0.0001226843268419647,1519.164603309419,0.016793261354980573
policy_false_allow,0.1,10,0.8738536470737251,0.0001531682357998622,0.7741199814689511,0.00040617006527027694,0.24848929776110787,0.00039619108919516655,0.22588001853104894,0.0004061700652702921,0.022609279230059343,0.0002664106134007383,1520.769227230504,0.030277384596092364
policy_false_allow,0.2,10,0.8712152413723568,0.0002426008319783062,0.7692494512593334,0.0007172553951003343,0.26546565596439936,0.0006648543354113912,0.2307505487406667,0.0007172553951003348,0.03471510722373285,0.0002883301704584348,1523.9832222983216,0.03285425274545292
policy_false_allow,0.3,10,0.8682894186079861,0.00021331946951652986,0.7640244204331929,0.0005485551917402195,0.2815778081756783,0.0005647972877357186,0.23597557956680731,0.0005485551917402038,0.04560222860887113,0.0002732774445812013,1527.2094553439445,0.05684723730538864
policy_false_allow,0.4,10,0.8654650468740892,0.00029497924020878674,0.7581828667957082,0.00047339290997903884,0.29697360965660563,0.0006231842869107781,0.24181713320429182,0.00047339290997901174,0.055156476452313696,0.0003309962316843688,1530.4249300665088,0.04360146943142961
policy_false_allow,0.5,10,0.862903370127764,0.00030608258611932706,0.7530657274615529,0.0009289136920613827,0.31091372533399075,0.0008664539654690728,0.2469342725384472,0.0009289136920613874,0.06397945279554339,0.0003782405467468075,1533.6525194623166,0.030087784453111423
policy_false_deny,0.0,10,0.8761525860183946,0.0,0.7788209679054493,1.1702778228589004e-16,0.23015999934986392,2.925694557147251e-17,0.2211790320945508,0.0,0.008980967255313266,1.828559098217032e-18,1517.5583610159542,0.0
policy_false_deny,0.02,10,0.8606167024527384,0.0024217523825163074,0.7489048763064272,0.004569867588835885,0.259728068601496,0.004548620499630134,0.25109512369357284,0.004569867588835873,0.008632944907923362,5.4597463456692836e-05,1487.1527249011558,0.10238800620867072
policy_false_deny,0.05,10,0.8395859289240265,0.0025850940021389947,0.7088863570456888,0.0057269144496222175,0.2991690441346152,0.005666467299412073,0.2911136429543113,0.005726914449622207,0.00805540118030434,8.912308185609529e-05,1441.6418831176486,0.1284782692276358
policy_false_deny,0.1,10,0.7999811627268635,0.0039964268352277186,0.6387884501583156,0.006840194197038719,0.36831907776561923,0.006703150732627308,0.36121154984168447,0.006840194197038737,0.007107527923935243,0.00018223147409796204,1365.7671427232626,0.17232169750680015
policy_false_deny,0.2,10,0.7190083164785476,0.00539813385489688,0.5044916574915184,0.006826656706818639,0.5007578978872566,0.0068419280030031695,0.4955083425084815,0.006826656706818642,0.005249555378775428,0.00011793001681122132,1214.1492635617335,0.24050697100479118
policy_false_deny,0.3,10,0.6372805481144883,0.007155175837940967,0.3853132006610822,0.008632051025550123,0.6183543298168906,0.008613458168863367,0.6146867993389178,0.008632051025550126,0.003667530477973327,0.0001440505062330814,1062.3825002416581,0.30441674263776114
policy_false_deny,0.4,10,0.5514523908764536,0.008070957237778634,0.2852458900443944,0.009172606537046326,0.7171588990073798,0.009113366337285825,0.7147541099556057,0.00917260653704635,0.0024047890517745066,0.00014623858407284093,910.6002858932982,0.27035151586083034
policy_false_deny,0.5,10,0.46730104180501425,0.009789097222851654,0.20509203047013697,0.009736496329303158,0.7963922362379072,0.009654367460595122,0.7949079695298631,0.009736496329303197,0.0014842667080441387,0.0001877403713563846,758.8813936539409,0.19082136539001668
policy_missing,0.0,10,0.8761525860183946,0.0,0.7788209679054493,1.1702778228589004e-16,0.23015999934986392,2.925694557147251e-17,0.2211790320945508,0.0,0.008980967255313266,1.828559098217032e-18,1517.5583610159542,0.0
policy_missing,0.02,10,0.8756827259103563,0.00014964204702600027,0.7775108569313431,0.0004434514103378559,0.23426912488495533,0.00044054555608190923,0.2224891430686568,0.00044345141033785753,0.01177998181629874,9.26175815852145e-05,1518.2077444931429,0.01108236790826536
