method,reference,metric,source_macro_mean_delta,bootstrap_ci95_lower,bootstrap_ci95_upper,bootstrap_samples,bootstrap_seed
namespace_policy_only,namespace_dense,evidence_recall,0.026547423326091616,0.022348524278320656,0.030818132766988457,10000,20260802
namespace_policy_only,namespace_dense,feasible_rate,0.057644882860665846,0.048150268589199886,0.06747297469929674,10000,20260802
namespace_policy_only,namespace_dense,penalized_admissibility_upper_risk,-0.14672349588930514,-0.15476915257566598,-0.13876722035339698,10000,20260802
namespace_policy_only,namespace_dense,candidates_scored,-32.199753390875465,-33.686521258388936,-30.638885416666668,10000,20260802
namespace_lifecycle_only,namespace_dense,evidence_recall,-0.015782983970406887,-0.019317486951876482,-0.01234889280538859,10000,20260802
namespace_lifecycle_only,namespace_dense,feasible_rate,-0.037916152897657214,-0.04619423147656303,-0.029823284921375485,10000,20260802
namespace_lifecycle_only,namespace_dense,penalized_admissibility_upper_risk,0.017592488030749552,0.012126050434668908,0.023269147965288468,10000,20260802
namespace_lifecycle_only,namespace_dense,candidates_scored,-1.4864364981504317,-1.5812022302722775,-1.3869275210084033,10000,20260802
released_governance_oracle_v2,namespace_dense,evidence_recall,0.010489205957763334,0.004474272535172441,0.01651220262651765,10000,20260802
released_governance_oracle_v2,namespace_dense,feasible_rate,0.016954377311960544,0.0030246360193830865,0.030466116995666825,10000,20260802
released_governance_oracle_v2,namespace_dense,penalized_admissibility_upper_risk,-0.12355443791299539,-0.13476684700631683,-0.11194958955718494,10000,20260802
released_governance_oracle_v2,namespace_dense,candidates_scored,-33.6861898890259,-35.21572983157238,-32.0734118535247,10000,20260802
