method,reference,top_k,metric,source_macro_mean_delta,bootstrap_ci95_lower,bootstrap_ci95_upper,bootstrap_samples,bootstrap_seed,bootstrap_unit
namespace_dense,global_dense,10,evidence_recall,0.06713221703017538,0.05415147598649556,0.08109095232893691,10000,20260802,namespace_group
namespace_dense,global_dense,10,feasible_rate,0.03179041525110043,0.02213625743295429,0.04224848468892474,10000,20260802,namespace_group
namespace_dense,global_dense,10,penalized_admissibility_upper_risk,-0.038626365929500056,-0.04921849772137167,-0.028055171738481367,10000,20260802,namespace_group
namespace_dense,global_dense,10,infeasibility_risk_component,-0.03179041525110043,-0.042248484688924746,-0.022136257432954293,10000,20260802,namespace_group
namespace_dense,global_dense,10,admissibility_conditional_risk_component,-0.006835950678399629,-0.009381262683206222,-0.004092282097607112,10000,20260802,namespace_group
namespace_dense,global_dense,10,candidates_scored,-88570.45716993632,-88838.18498914067,-88251.96997163339,10000,20260802,namespace_group
namespace_dense,global_dense,20,evidence_recall,0.10130865428950661,0.08225413057659439,0.12040251537864088,10000,20260802,namespace_group
namespace_dense,global_dense,20,feasible_rate,0.07390965052705038,0.05579616108791878,0.09467092101238662,10000,20260802,namespace_group
namespace_dense,global_dense,20,penalized_admissibility_upper_risk,-0.08536173477379465,-0.10699340752686742,-0.06416454269139718,10000,20260802,namespace_group
namespace_dense,global_dense,20,infeasibility_risk_component,-0.07390965052705038,-0.09467092101238664,-0.05579616108791879,10000,20260802,namespace_group
namespace_dense,global_dense,20,admissibility_conditional_risk_component,-0.011452084246744251,-0.016138339480099545,-0.006536993998337914,10000,20260802,namespace_group
namespace_dense,global_dense,20,candidates_scored,-88570.45716993632,-88838.18498914067,-88251.96997163339,10000,20260802,namespace_group
namespace_dense,global_dense,50,evidence_recall,0.1366706127195266,0.11439280079741619,0.15763115370548839,10000,20260802,namespace_group
namespace_dense,global_dense,50,feasible_rate,0.1526141510256912,0.12476583243697258,0.17917670117461051,10000,20260802,namespace_group
namespace_dense,global_dense,50,penalized_admissibility_upper_risk,-0.17982085681949506,-0.2122158818845426,-0.14449638021123745,10000,20260802,namespace_group
namespace_dense,global_dense,50,infeasibility_risk_component,-0.1526141510256912,-0.17917670117461051,-0.12476583243697258,10000,20260802,namespace_group
namespace_dense,global_dense,50,admissibility_conditional_risk_component,-0.027206705793804013,-0.03752878052520413,-0.015894944795739153,10000,20260802,namespace_group
namespace_dense,global_dense,50,candidates_scored,-88570.45716993632,-88838.18498914067,-88251.96997163339,10000,20260802,namespace_group
namespace_dense,global_dense,100,evidence_recall,0.14882826330375906,0.1295318175494812,0.1686701504404007,10000,20260802,namespace_group
namespace_dense,global_dense,100,feasible_rate,0.22299559357118776,0.191691519764103,0.2550229613185381,10000,20260802,namespace_group
namespace_dense,global_dense,100,penalized_admissibility_upper_risk,-0.27393493576095884,-0.30970609573192986,-0.23538435309248837,10000,20260802,namespace_group
namespace_dense,global_dense,100,infeasibility_risk_component,-0.22299559357118776,-0.2550229613185381,-0.191691519764103,10000,20260802,namespace_group
namespace_dense,global_dense,100,admissibility_conditional_risk_component,-0.05093934218977141,-0.06842618818753983,-0.03367666071398375,10000,20260802,namespace_group
namespace_dense,global_dense,100,candidates_scored,-88570.45716993632,-88838.18498914067,-88251.96997163339,10000,20260802,namespace_group
