channel,rate,seed,query_count,evidence_recall,feasible_rate,penalized_admissibility_upper_risk,infeasibility_risk_component,admissibility_conditional_risk_component,candidates_scored
namespace_false_deny,0.0,0,3767,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,1551.24455090498
namespace_false_deny,0.0,1,3767,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,1551.24455090498
namespace_false_deny,0.0,2,3767,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,1551.24455090498
namespace_false_deny,0.0,3,3767,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,1551.24455090498
namespace_false_deny,0.0,4,3767,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,1551.24455090498
namespace_false_deny,0.0,5,3767,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,1551.24455090498
namespace_false_deny,0.0,6,3767,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,1551.24455090498
namespace_false_deny,0.0,7,3767,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,1551.24455090498
namespace_false_deny,0.0,8,3767,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,1551.24455090498
namespace_false_deny,0.0,9,3767,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,1551.24455090498
namespace_false_deny,0.02,0,3767,0.8483773728755934,0.7226507887483997,0.38481246850328144,0.2773492112516002,0.10746325725168147,1520.5116844629179
namespace_false_deny,0.02,1,3767,0.8529046206709103,0.7355352903315548,0.3757858875096465,0.2644647096684451,0.1113211778412019,1519.829725358538
namespace_false_deny,0.02,2,3767,0.8488398903506622,0.7254563801269824,0.3823995824574674,0.2745436198730175,0.10785596258445064,1520.4132936699727
namespace_false_deny,0.02,3,3767,0.8452287657205453,0.7206450266766945,0.38721719783078556,0.2793549733233055,0.1078622245074801,1519.676686832346
namespace_false_deny,0.02,4,3767,0.8504452891624645,0.7250544025387065,0.38376213267265663,0.27494559746129343,0.108816535211363,1519.915165635985
namespace_false_deny,0.02,5,3767,0.8542665915346732,0.7334711766744547,0.37772036699833245,0.2665288233255453,0.11119154367278693,1520.7841085645982
namespace_false_deny,0.02,6,3767,0.8460217789223181,0.7236339245508108,0.38724494842685603,0.27636607544918934,0.11087887297766666,1520.0599913238855
namespace_false_deny,0.02,7,3767,0.848907194418351,0.7254834929848428,0.38510354726389445,0.2745165070151573,0.11058704024873708,1520.5433687843774
namespace_false_deny,0.02,8,3767,0.851604010891697,0.7298032785339252,0.37956713657229046,0.27019672146607476,0.10937041510621631,1520.2762104712215
namespace_false_deny,0.02,9,3767,0.8505893477379887,0.7334711766744547,0.37668477929534505,0.2665288233255453,0.11015595596979909,1520.4575188670126
namespace_false_deny,0.05,0,3767,0.8276044121956743,0.6850658842446005,0.4170165135418189,0.31493411575539954,0.1020823977864201,1473.9360360530281
namespace_false_deny,0.05,1,3767,0.8267223683865353,0.686388520180218,0.4189147476669967,0.313611479819782,0.10530326784721468,1473.59084929259
namespace_false_deny,0.05,2,3767,0.8211976263413332,0.6741517801359416,0.42527991665376924,0.32584821986405854,0.09943169678971107,1473.4473998769313
namespace_false_deny,0.05,3,3767,0.8235253730132348,0.6811793150113284,0.4201319373678246,0.31882068498867155,0.10131125237915298,1473.1750288221467
namespace_false_deny,0.05,4,3767,0.8271971161181393,0.6801337017538482,0.42017345388218996,0.31986629824615176,0.10030715563603809,1473.5157625903862
namespace_false_deny,0.05,5,3767,0.832417942252719,0.6919413513519885,0.41318939647397623,0.30805864864801147,0.10513074782596499,1474.7701030052835
namespace_false_deny,0.05,6,3767,0.8301438145785148,0.691722680259246,0.4134652316562043,0.30827731974075395,0.10518791191545077,1474.0238504737677
namespace_false_deny,0.05,7,3767,0.8260770079915378,0.6777572008214017,0.4228131319972019,0.32224279917859827,0.10057033281860352,1473.9080720871948
namespace_false_deny,0.05,8,3767,0.8292051803970559,0.6903688055960939,0.413184259256853,0.3096311944039062,0.10355306485294742,1472.6131838039576
namespace_false_deny,0.05,9,3767,0.8331238044099764,0.6948094201856405,0.40741255239105634,0.30519057981435943,0.1022219725766965,1474.2487651861475
namespace_false_deny,0.1,0,3767,0.7917709849777554,0.6197958048157151,0.47137496125941736,0.38020419518428494,0.09117076607513233,1395.9770483764114
namespace_false_deny,0.1,1,3767,0.7946392058417528,0.629441498704477,0.46768736237399366,0.3705585012955231,0.09712886107847021,1397.314582827423
namespace_false_deny,0.1,2,3767,0.7822211233001096,0.6065718030993533,0.4803237286613716,0.3934281969006467,0.08689553176072481,1395.7617280792545
namespace_false_deny,0.1,3,3767,0.7962357606975379,0.6270732495113791,0.46204145921389306,0.3729267504886209,0.08911470872527237,1396.4968289744502
namespace_false_deny,0.1,4,3767,0.7878840894639738,0.6119643147637763,0.4772176921406735,0.3880356852362237,0.08918200690445027,1395.061822031201
namespace_false_deny,0.1,5,3767,0.7990727907820332,0.6357045688701954,0.45876107344988626,0.36429543112980456,0.09446564232008145,1398.8297371467372
namespace_false_deny,0.1,6,3767,0.8038070213432649,0.6392475121005863,0.4576352012747346,0.3607524878994136,0.0968827133753214,1397.3144378325746
namespace_false_deny,0.1,7,3767,0.7933023868782902,0.6168652585269938,0.4735210139384594,0.3831347414730062,0.09038627246545428,1396.1378140670938
namespace_false_deny,0.1,8,3767,0.7939871519014978,0.6176067362484764,0.4739741401027182,0.3823932637515236,0.09158087635119497,1395.2174698752572
namespace_false_deny,0.1,9,3767,0.7925273997975946,0.6246342711238633,0.46751732899812026,0.3753657288761367,0.09215160012198387,1394.595080666646
namespace_false_deny,0.2,0,3767,0.7187402740340887,0.5082428981994704,0.5658748452480951,0.4917571018005295,0.07411774344756636,1238.4657717851812
namespace_false_deny,0.2,1,3767,0.7031333154751473,0.4864418028400129,0.5866382742341034,0.5135581971599871,0.07308007707411676,1242.9631441956087
namespace_false_deny,0.2,2,3767,0.705354718791763,0.4764336218298586,0.5869349938187312,0.5235663781701414,0.06336861564859074,1241.4914181910772
namespace_false_deny,0.2,3,3767,0.7084560342181854,0.49261528269280186,0.5750517893211082,0.5073847173071981,0.06766707201391055,1242.7111337182573
namespace_false_deny,0.2,4,3767,0.7229912335747828,0.4961582259231928,0.574546360411951,0.5038417740768072,0.070704586335144,1237.8987128465437
namespace_false_deny,0.2,5,3767,0.7193153456548823,0.5009424665156206,0.5676414817405693,0.4990575334843794,0.06858394825618999,1244.8531443842198
namespace_false_deny,0.2,6,3767,0.7129850909407167,0.4984410106730354,0.5745452823948387,0.5015589893269645,0.07298629306787376,1241.3959467456318
namespace_false_deny,0.2,7,3767,0.7243550304399372,0.502323454036633,0.570617141229899,0.49767654596336697,0.07294059526653228,1240.9712574236182
namespace_false_deny,0.2,8,3767,0.7285583074170714,0.5130896162469675,0.5578766892093517,0.4869103837530325,0.07096630545631975,1241.563544287085
namespace_false_deny,0.2,9,3767,0.7157979374412624,0.4964747390682136,0.5709975772415977,0.5035252609317864,0.06747231630981215,1239.7739235606018
namespace_false_deny,0.3,0,3767,0.6513616920634983,0.40739367633849105,0.6490990799666094,0.5926063236615089,0.056492756305100915,1083.6145029034335
namespace_false_deny,0.3,1,3767,0.633543152517702,0.38661108137865347,0.667160128488708,0.6133889186213466,0.05377120986736156,1086.8658261287792
namespace_false_deny,0.3,2,3767,0.6258454861245599,0.37052313669831405,0.677234508062771,0.629476863301686,0.047757644761084884,1086.4013864100925
namespace_false_deny,0.3,3,3767,0.6375917769770776,0.3908725153423411,0.6596736957905246,0.6091274846576589,0.05054621113286578,1085.543550912053
namespace_false_deny,0.3,4,3767,0.6539869866795965,0.3919806060548906,0.6599344402315124,0.6080193939451094,0.05191504628640268,1083.5293744238518
namespace_false_deny,0.3,5,3767,0.6353923832104746,0.3895145148095145,0.6623713761495109,0.6104854851904855,0.051885890959025134,1088.8162791492691
namespace_false_deny,0.3,6,3767,0.6381966130988443,0.3921951512779587,0.6647810543262864,0.6078048487220413,0.05697620560424499,1089.358005248106
namespace_false_deny,0.3,7,3767,0.6527334522781334,0.3942592649350588,0.6599046165217073,0.6057407350649412,0.05416388145676635,1085.918233514793
namespace_false_deny,0.3,8,3767,0.6464692888972867,0.40415899451377213,0.650805153275258,0.5958410054862279,0.054964147789029784,1087.3136002810306
namespace_false_deny,0.3,9,3767,0.6399573226028548,0.3893936857690503,0.6598553295163125,0.6106063142309497,0.04924901528536341,1084.8705968129425
