channel,rate,seed,query_count,matched_prefix_query_count,evidence_recall,feasible_rate,penalized_admissibility_upper_risk,infeasibility_risk_component,admissibility_conditional_risk_component,matched_prefix_wrong_scope_exposure_rate,returned_wrong_scope_rate,known_relevant_inadmissible_rate,joint_label_coverage,candidates_scored
namespace_false_allow,0.0,0,3767,3018,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,0.0,0.0,0.0,0.22179411857977033,1551.24455090498
namespace_false_allow,0.0,1,3767,3018,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,0.0,0.0,0.0,0.22179411857977033,1551.24455090498
namespace_false_allow,0.0,2,3767,3018,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,0.0,0.0,0.0,0.22179411857977033,1551.24455090498
namespace_false_allow,0.0,3,3767,3018,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,0.0,0.0,0.0,0.22179411857977033,1551.24455090498
namespace_false_allow,0.0,4,3767,3018,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,0.0,0.0,0.0,0.22179411857977033,1551.24455090498
namespace_false_allow,0.0,5,3767,3018,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,0.0,0.0,0.0,0.22179411857977033,1551.24455090498
namespace_false_allow,0.0,6,3767,3018,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,0.0,0.0,0.0,0.22179411857977033,1551.24455090498
namespace_false_allow,0.0,7,3767,3018,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,0.0,0.0,0.0,0.22179411857977033,1551.24455090498
namespace_false_allow,0.0,8,3767,3018,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,0.0,0.0,0.0,0.22179411857977033,1551.24455090498
namespace_false_allow,0.0,9,3767,3018,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,0.0,0.0,0.0,0.22179411857977033,1551.24455090498
namespace_false_allow,0.02,0,3767,2895,0.8531677398231445,0.7397009451778014,0.3899090155869087,0.2602990548221986,0.1296099607647095,0.031343468587362935,0.08788165222495216,0.0,0.22113253200116476,3323.1941265887544
namespace_false_allow,0.02,1,3767,2902,0.8535025498202036,0.7399779678559388,0.3903201259471252,0.2600220321440612,0.13029809380306426,0.0317408762171151,0.08870526228093349,0.0,0.22120395013706895,3322.7077740815225
namespace_false_allow,0.02,2,3767,2893,0.8527730063638681,0.7385907915304147,0.39168174627180324,0.26140920846958526,0.13027253780221792,0.03239682340924385,0.08915755045938584,0.0,0.22138859124272015,3322.9195926941456
namespace_false_allow,0.02,3,3767,2899,0.8535787167892281,0.7403174679891454,0.39044731089032125,0.25968253201085456,0.1307647788794666,0.03254497387271961,0.08783405103818655,0.0,0.22038320323032812,3322.7209414998833
