provider,model,threshold,dev_selected_threshold,candidate_count,retained_candidate_fraction,violation_precision,violation_recall,required_anchor_false_deny_rate,evidence_recall,feasible_rate,penalized_admissibility_upper_risk,conditional_admissibility_upper_risk,known_admissibility_violation_rate,mean_route_width
OpenAI,gpt-5.6-sol,0.0,False,1440,0.0,0.1559177888022679,1.0,1.0,0.0,0.0,1.0,,,0.0
OpenAI,gpt-5.6-sol,0.05,False,1440,0.7791666666666667,0.31511254019292606,0.44545454545454544,0.10619469026548672,0.45532407407407405,0.18055555555555555,0.8227413019079686,0.04882154882154882,0.03518518518518519,15.583333333333334
OpenAI,gpt-5.6-sol,0.1,False,1440,0.8152777777777778,0.32950191570881227,0.39090909090909093,0.09734513274336283,0.4622685185185185,0.18055555555555555,0.8227413019079686,0.04882154882154882,0.03518518518518519,16.305555555555554
OpenAI,gpt-5.6-sol,0.15,False,1440,0.8243055555555556,0.3346774193548387,0.37727272727272726,0.08849557522123894,0.46458333333333335,0.18055555555555555,0.8227413019079686,0.04882154882154882,0.03518518518518519,16.48611111111111
OpenAI,gpt-5.6-sol,0.2,False,1440,0.8263888888888888,0.33739837398373984,0.37727272727272726,0.08849557522123894,0.46458333333333335,0.18055555555555555,0.8227413019079686,0.04882154882154882,0.03518518518518519,16.527777777777775
OpenAI,gpt-5.6-sol,0.25,False,1440,0.8284722222222223,0.3333333333333333,0.36818181818181817,0.08849557522123894,0.46458333333333335,0.18055555555555555,0.8227413019079686,0.04882154882154882,0.03518518518518519,16.569444444444443
OpenAI,gpt-5.6-sol,0.3,False,1440,0.8298611111111112,0.33195020746887965,0.36363636363636365,0.08849557522123894,0.46458333333333335,0.18055555555555555,0.8227413019079686,0.04882154882154882,0.03518518518518519,16.59722222222222
OpenAI,gpt-5.6-sol,0.35,False,1440,0.8305555555555555,0.32916666666666666,0.35909090909090907,0.08849557522123894,0.46458333333333335,0.18055555555555555,0.8227413019079686,0.04882154882154882,0.03518518518518519,16.61111111111111
OpenAI,gpt-5.6-sol,0.4,False,1440,0.8319444444444444,0.3319327731092437,0.35909090909090907,0.08849557522123894,0.46458333333333335,0.18055555555555555,0.8227413019079686,0.04882154882154882,0.03518518518518519,16.63888888888889
OpenAI,gpt-5.6-sol,0.45,False,1440,0.8333333333333334,0.3347457627118644,0.35909090909090907,0.08849557522123894,0.46458333333333335,0.18055555555555555,0.8227413019079686,0.04882154882154882,0.03518518518518519,16.666666666666668
OpenAI,gpt-5.6-sol,0.5,False,1440,0.8340277777777778,0.33617021276595743,0.35909090909090907,0.08849557522123894,0.46458333333333335,0.18055555555555555,0.8227413019079686,0.04882154882154882,0.03518518518518519,16.680555555555554
OpenAI,gpt-5.6-sol,0.55,False,1440,0.8340277777777778,0.33617021276595743,0.35909090909090907,0.08849557522123894,0.46458333333333335,0.18055555555555555,0.8227413019079686,0.04882154882154882,0.03518518518518519,16.680555555555554
OpenAI,gpt-5.6-sol,0.6,False,1440,0.8347222222222223,0.33760683760683763,0.35909090909090907,0.08849557522123894,0.46458333333333335,0.18055555555555555,0.8227413019079686,0.04882154882154882,0.03518518518518519,16.694444444444443
OpenAI,gpt-5.6-sol,0.65,False,1440,0.8354166666666667,0.33905579399141633,0.35909090909090907,0.08849557522123894,0.46458333333333335,0.18055555555555555,0.8227413019079686,0.04882154882154882,0.03518518518518519,16.708333333333332
OpenAI,gpt-5.6-sol,0.7,False,1440,0.8368055555555556,0.341991341991342,0.35909090909090907,0.08849557522123894,0.46458333333333335,0.18055555555555555,0.8227413019079686,0.04882154882154882,0.03518518518518519,16.73611111111111
OpenAI,gpt-5.6-sol,0.75,False,1440,0.8451388888888889,0.3515981735159817,0.35,0.08849557522123894,0.46458333333333335,0.18055555555555555,0.8236882716049383,0.06018518518518518,0.04882154882154882,16.90277777777778
OpenAI,gpt-5.6-sol,0.8,False,1440,0.8534722222222222,0.36231884057971014,0.3409090909090909,0.08849557522123894,0.46458333333333335,0.18055555555555555,0.8236882716049383,0.06018518518518518,0.04882154882154882,17.069444444444443
OpenAI,gpt-5.6-sol,0.85,False,1440,0.8597222222222223,0.3686868686868687,0.33181818181818185,0.08849557522123894,0.46458333333333335,0.18055555555555555,0.8234211775878443,0.05698005698005698,0.0462962962962963,17.194444444444443
OpenAI,gpt-5.6-sol,0.9,False,1440,0.8708333333333333,0.3825136612021858,0.3181818181818182,0.07964601769911504,0.4668981481481482,0.18055555555555555,0.8234211775878443,0.05698005698005698,0.0462962962962963,17.416666666666668
OpenAI,gpt-5.6-sol,0.95,True,1440,0.9034722222222222,0.3795620437956204,0.23636363636363636,0.05309734513274336,0.4835648148148148,0.19444444444444445,0.8120811287477955,0.06455026455026454,0.05783475783475783,18.069444444444446
OpenAI,gpt-5.6-sol,1.0,False,1440,1.0,,0.0,0.0,0.5252314814814815,0.2777777777777778,0.7553370048161715,0.10476699226699226,0.10252849002849003,20.0
Gemini,gemini-3.6-flash,0.0,False,1440,0.0,0.1559177888022679,1.0,1.0,0.0,0.0,1.0,,,0.0
Gemini,gemini-3.6-flash,0.05,False,1440,0.8291666666666666,0.21074380165289255,0.2318181818181818,0.11504424778761062,0.44097222222222215,0.20833333333333334,0.8129758937050604,0.10066900691900692,0.09731125356125357,16.583333333333332
Gemini,gemini-3.6-flash,0.1,False,1440,0.9236111111111112,0.29906542056074764,0.14545454545454545,0.035398230088495575,0.4974537037037037,0.23611111111111113,0.7851981159272826,0.10066900691900692,0.09731125356125357,18.472222222222225
Gemini,gemini-3.6-flash,0.15,False,1440,0.9534722222222223,0.3787878787878788,0.11363636363636363,0.017699115044247787,0.5113425925925926,0.25,0.7732933540225208,0.09573594395022966,0.09285786964358393,19.069444444444443
Gemini,gemini-3.6-flash,0.2,False,1440,0.9541666666666667,0.36923076923076925,0.10909090909090909,0.017699115044247787,0.5113425925925926,0.25,0.7732933540225208,0.09573594395022966,0.09285786964358393,19.083333333333332
Gemini,gemini-3.6-flash,0.25,False,1440,0.9548611111111112,0.375,0.10909090909090909,0.017699115044247787,0.5113425925925926,0.25,0.7732933540225208,0.09573594395022966,0.09285786964358393,19.09722222222222
Gemini,gemini-3.6-flash,0.3,False,1440,0.9548611111111112,0.375,0.10909090909090909,0.017699115044247787,0.5113425925925926,0.25,0.7732933540225208,0.09573594395022966,0.09285786964358393,19.09722222222222
Gemini,gemini-3.6-flash,0.35,False,1440,0.9548611111111112,0.375,0.10909090909090909,0.017699115044247787,0.5113425925925926,0.25,0.7732933540225208,0.09573594395022966,0.09285786964358393,19.09722222222222
Gemini,gemini-3.6-flash,0.4,False,1440,0.9548611111111112,0.375,0.10909090909090909,0.017699115044247787,0.5113425925925926,0.25,0.7732933540225208,0.09573594395022966,0.09285786964358393,19.09722222222222
Gemini,gemini-3.6-flash,0.45,False,1440,0.9548611111111112,0.375,0.10909090909090909,0.017699115044247787,0.5113425925925926,0.25,0.7732933540225208,0.09573594395022966,0.09285786964358393,19.09722222222222
Gemini,gemini-3.6-flash,0.5,False,1440,0.9548611111111112,0.375,0.10909090909090909,0.017699115044247787,0.5113425925925926,0.25,0.7732933540225208,0.09573594395022966,0.09285786964358393,19.09722222222222
Gemini,gemini-3.6-flash,0.55,False,1440,0.95625,0.3709677419354839,0.10454545454545454,0.017699115044247787,0.5113425925925926,0.25,0.7732933540225208,0.09573594395022966,0.09285786964358393,19.125
Gemini,gemini-3.6-flash,0.6,False,1440,0.95625,0.3709677419354839,0.10454545454545454,0.017699115044247787,0.5113425925925926,0.25,0.7732933540225208,0.09573594395022966,0.09285786964358393,19.125
Gemini,gemini-3.6-flash,0.65,False,1440,0.95625,0.3709677419354839,0.10454545454545454,0.017699115044247787,0.5113425925925926,0.25,0.7732933540225208,0.09573594395022966,0.09285786964358393,19.125
