source,case_count,namespace_group_count,anchor_total_mean,anchor_total_median,anchor_total_min,anchor_total_max,protected_target_evaluable_count,protected_target_evaluable_rate
rhelm,523,7,2.478011472275335,2,1,14,0,0.0
memops,1000,80,3.439,3.0,1,9,787,0.787
